ID,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Size,Zeta,Target
472,Pt,I,Sphere,PVP,Chemical Reduction,Negative,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,24,25.0,CellTiterGlo,LuciferaseEnzyme,4.0,-8.0,1
232,Au,I,Sphere,CYS,Chemical Reduction,Negative,L929,5000.0,A,Mouse,SubcutaneousConnectiveTissue,Fibroblast,Adult,L,24,50.0,MTT,TetrazoliumSalt,25.76,-46.8,1
2041,EudragitRL,O,Sphere,,Emulsion-Solvent Evaporation ,Positive,THP-1,5000.0,H,Human,Blood,Monocyte,Adult,L,24,25.0,MTT,TetrazoliumSalt,142.0,56.0,1
437,Au,I,Sphere,Citrate,Chemical Reduction,Negative,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,1.5,MTT,TetrazoliumSalt,7.0,-99.0,1
68,SLN,O,Sphere,,Emulsion-Solvent Evaporation ,Negative,A549,100000.0,H,Human,Lung,Epithelial,Adult,L,24,3671.1,NRU,TetrazoliumSalt,98.4,-14.6,0
392,ZnO,I,Sphere,,Commercial,Negative,SHSY5Y,350000.0,H,Human,BoneMarrow,Epithelial,Adult,L,6,20.0,NRU,NeutralRed,100.0,-8.23,1
401,Ag,I,Sphere,,Commercial,Negative,HeLa,10000.0,H,Human,Cervix,Epithelial,Adult,L,72,250.0,MTT,TetrazoliumSalt,29.57,-33.33,0
585,CuO,I,Sphere,,Commercial,Negative,hMSC,4500.0,H,Human,BoneMarrow,Spindle,Adult,P,48,100.0,NRU,NeutralRed,30.09,-20.0,0
897,Pt,I,Sphere,,Green Synthesis,Negative,HEK293,10000.0,H,Human,Kidney,Epithelial,Embryonic,L,6,60.0,NRU,NeutralRed,24.6,-11.0,1
1222,IronOxide,I,Sphere,,Commercial,Positive,HCMEC,50000.0,H,Human,Heart,Epithelial,Adult,P,24,0.1,MTT,TetrazoliumSalt,46.8,1.7,1
1518,Au,I,Rod,,EBPVD,Negative,CCL-110,5000.0,H,Human,Skin,Fibroblast,Fetus,P,24,40.0,MTS,TetrazoliumSalt,65.0,-23.3,1
2368,Ag,I,Sphere,,Commercial,Negative,HaCat,10000.0,H,Human,Skin,Keratinocyte,Adult,L,72,600.0,MTT,TetrazoliumSalt,29.57,-33.33,0
2085,Ag,I,Wire,,Commercial,Negative,J774A.1,10000.0,A,Mouse,Ascites,Macrophage,Adult,L,24,10.0,MTS,TetrazoliumSalt,30.0,-4.23,0
2335,C60,C,Sphere,,Commercial,Negative,mDF,10000.0,A,Mouse,Skin,Fibroblast,Adult,P,48,10.0,MTT,TetrazoliumSalt,34.64,-37.4,0
