ID,Target
32,104.4548
376,102.0805
71,62.2934
2232,74.7561
2018,106.6959
1971,74.1294
1727,70.1347
2220,76.0099
27,51.5975
622,102.006
1065,90.6199
399,63.4
2088,95.4442
2059,90.9647
1256,82.3152
441,55.2172
833,94.614
428,32.7365
1875,22.7299
1466,54.3607
2503,65.4379
1112,85.6715
1114,42.7747
870,76.011
2100,85.9176
666,71.9515
768,90.1882
1192,42.3669
280,79.4155
2453,87.0029
315,110.066
417,72.5475
1165,93.2034
1841,83.2281
2532,7.8081
1052,117.0264
2373,87.3075
434,90.783
921,80.1477
1734,7.0987
1189,19.5287
901,55.6101
2297,52.804
301,19.7984
1719,105.328
659,102.3155
1428,24.9877
614,87.0642
2052,88.3147
39,9.1046
460,104.8121
2096,48.4611
1197,79.6703
525,86.8394
670,66.8131
1718,64.7003
14,98.7298
75,78.6788
1107,97.5008
2357,91.0936
1796,68.2839
1961,78.0065
424,24.0662
1534,82.4773
534,73.6346
54,95.1188
1500,92.8826
2031,94.6312
360,77.0474
2385,92.6309
225,87.9746
2311,96.7672
1223,68.1468
416,83.7272
1523,90.0062
1390,65.1424
398,89.6085
1620,63.7801
1096,18.432
1121,98.1763
2160,53.7448
2438,41.8959
1737,90.116
1787,90.314
81,96.1484
1282,100.9532
1939,94.0405
1856,84.5537
69,49.925
1726,92.9759
1524,57.7835
846,73.739
1156,98.6494
2281,102.5613
2535,52.6053
1848,13.6425
1591,95.9425
2196,75.9283
1294,70.504
1401,69.892
2387,95.5173
682,95.4537
160,120.9451
1570,96.6639
849,91.6574
798,87.8499
443,97.7962
1138,45.7272
704,101.331
1036,81.3391
2267,80.3104
499,24.9212
1360,104.4258
2016,96.9905
1881,26.7882
2032,3.4518
1084,97.0242
2485,23.6524
333,41.8846
1433,56.0264
264,87.1748
1455,82.7873
2179,98.7593
2341,88.8749
1283,41.4327
2114,32.2013
1604,90.7936
1623,51.3799
709,97.5724
958,4.2768
2256,89.1557
2362,98.1418
745,89.4449
2170,19.474
303,103.4334
1983,61.8863
532,47.8336
1805,43.3073
43,95.0457
1074,26.6001
2483,62.7621
356,36.7018
975,105.8882
2369,104.0588
2166,107.9689
256,91.2543
1812,85.4953
2190,21.424
1446,97.4642
2126,52.1639
253,99.7907
1391,80.9771
985,63.0333
2184,70.0268
2519,79.9518
1273,90.7861
2448,81.4148
2452,22.3565
2319,96.3172
764,96.1608
602,90.4217
1712,59.0955
1341,92.5014
1745,94.6241
2243,100.2113
1239,58.8627
1617,64.3046
1777,100.9409
1816,96.4753
2140,92.0869
1716,117.7301
1368,99.5067
2158,87.2295
1658,98.5691
306,64.7272
747,86.1975
568,58.9063
1850,60.7177
455,67.3656
1580,86.7611
1356,67.699
445,53.887
34,0.5094
1501,65.9036
500,77.4957
1894,93.2364
957,99.9683
209,104.4335
149,96.6937
1563,60.9424
1363,99.9079
88,52.9176
452,63.9354
876,100.8935
1697,106.6946
1347,19.9299
737,102.6617
346,100.0638
282,103.5386
1684,46.55
969,137.1641
1703,109.2509
475,105.6371
2512,62.4672
260,95.2559
818,14.7815
1145,62.8712
1475,37.1294
2334,70.2321
273,93.7568
1973,96.6623
625,63.2689
1862,11.1651
67,13.353
1807,97.8452
857,96.7679
2510,97.599
643,94.1926
2061,72.958
905,77.6823
699,99.659
2202,40.5081
847,54.1192
2229,94.1613
201,89.1582
1809,89.7419
955,13.0387
1740,113.5667
2526,91.6519
1384,71.3765
1566,98.8978
1934,89.9713
1561,77.0916
1595,82.2029
617,99.6802
677,48.9513
2421,95.7151
1167,50.2562
2161,92.0154
2298,97.1606
2092,51.9519
1639,94.038
1642,109.9384
1457,99.1419
2304,100.0845
1844,95.9254
1924,100.4108
1982,95.9709
3,46.3835
1346,53.8889
834,63.3379
1860,103.5068
1575,96.629
37,60.4925
406,87.3722
1904,96.1697
328,73.8796
2204,95.6104
2501,97.302
451,104.1109
2112,19.4345
2534,76.1404
2333,66.4053
420,61.1754
2137,51.6356
120,103.6075
2426,96.1024
1206,8.6601
1226,55.8875
679,96.0872
1179,9.9345
1002,4.8346
1426,81.702
1653,50.4279
1053,69.8463
683,107.5106
591,91.8048
686,92.8477
2498,73.9901
77,57.5517
504,117.3973
378,69.5887
1744,3.3471
1377,105.2486
684,84.7009
1159,69.6853
1081,91.3409
249,18.0559
1071,99.215
1122,90.5003
2342,101.8976
478,101.4571
825,87.0781
1322,49.3018
743,69.6564
856,97.3728
314,41.2386
2026,97.8885
2153,96.123
1350,81.1036
2094,19.4119
539,88.1718
1413,84.9821
802,77.4347
1936,109.2975
752,67.4703
2198,26.8152
1636,40.9096
1773,5.0787
1768,97.1144
156,94.198
2291,97.4005
28,19.3225
1772,35.8168
367,89.2736
1091,4.7767
1224,97.5814
2212,67.0831
717,97.1209
1916,81.6075
2021,104.05
1765,97.9269
359,78.8607
1325,79.5735
784,95.8963
2429,113.7082
2219,77.7485
2494,98.8004
1808,79.334
2330,74.6766
2477,95.6451
2289,81.5853
1461,52.7252
652,97.5654
1568,89.9712
524,11.2807
1317,12.2897
629,93.8786
1434,103.2019
2296,67.0283
829,67.28
2391,22.2838
814,109.5051
219,90.0088
2379,89.0513
2411,114.941
708,89.1092
1361,96.8559
1849,93.0978
1393,98.9199
2148,101.0474
1828,51.4359
2321,89.9382
202,82.2896
2300,94.3812
739,66.5165
1421,75.9477
2407,66.8624
228,89.0548
582,101.95
2055,85.0465
9,91.4639
1418,93.5612
1913,104.951
819,83.3294
2506,44.6057
2255,72.4441
339,5.6228
1101,62.1749
1026,83.3376
748,107.8474
1436,91.2632
733,96.7886
112,75.5766
1666,62.4979
1742,74.6832
477,80.26
357,100.0907
2523,90.7607
1578,76.7444
543,75.2003
2274,80.6405
1663,59.272
2505,51.6031
388,94.8141
252,65.9036
2175,45.6983
2400,55.8075
92,92.6672
655,97.4873
2419,78.7508
2337,18.7136
517,57.663
1928,77.333
1087,55.6463
345,97.7041
880,90.0319
1089,70.0252
2476,97.6139
2225,86.9925
1342,36.2557
2164,26.0061
2493,72.4411
738,93.1126
446,32.9732
407,98.137
336,65.06
1821,6.2867
1979,83.4468
1912,85.2996
2279,104.0981
1105,20.0258
436,49.9591
1215,81.6366
1201,90.2608
990,88.9998
2417,16.612
2082,83.2594
1042,38.7786
1106,100.7331
2309,81.5229
1681,90.1768
1974,66.1678
2118,95.2775
1766,89.6751
2104,6.0027
2295,51.8842
563,95.793
864,59.8865
1788,79.378
600,23.1426
2015,96.9069
1276,99.7888
2017,16.1205
1376,95.9155
1012,91.505
2171,98.0231
1470,57.1945
1075,95.7738
427,94.7251
1911,67.4015
254,93.2504
279,96.7539
994,100.7541
1986,88.168
194,106.9349
1654,18.915
2322,99.7259
2209,98.367
2287,75.9916
2511,63.8613
1976,24.0526
1007,77.7416
866,47.6724
1176,101.4705
2425,86.0941
727,97.3287
927,86.5242
1530,102.1008
2222,98.3666
327,76.9657
2068,92.252
2495,84.9963
756,87.595
493,59.7781
2127,99.0413
1018,97.8824
351,93.6707
