ID,Target
32,101.5355
376,102.9835
71,63.3584
2232,76.685
2018,108.2302
1971,66.6561
1727,70.7326
2220,81.8595
27,52.8509
622,101.4548
1065,91.8802
399,62.6893
2088,95.7396
2059,91.6245
1256,88.0279
441,55.6296
833,94.6266
428,33.4053
1875,22.6385
1466,56.0541
2503,68.4094
1112,86.4952
1114,40.9721
870,73.9509
2100,86.8382
666,54.4058
768,81.8974
1192,42.0861
280,76.5656
2453,86.4249
315,110.4986
417,69.0151
1165,93.3863
1841,78.4391
2532,7.2741
1052,119.3159
2373,88.9614
434,87.2783
921,79.1987
1734,6.5035
1189,22.8342
901,55.1283
2297,52.0651
301,18.5725
1719,105.0173
659,100.2661
1428,27.2488
614,83.5073
2052,86.2908
39,9.2448
460,102.2368
2096,50.8055
1197,81.7135
525,87.7454
670,67.4153
1718,62.5681
14,98.0453
75,77.0387
1107,96.1342
2357,90.6926
1796,67.381
1961,74.9771
424,23.1478
1534,82.1667
534,74.1594
54,97.1422
1500,91.615
2031,94.5692
360,77.7104
2385,83.2679
225,84.4409
2311,94.3469
1223,66.9459
416,83.6039
1523,91.4419
1390,68.3358
398,88.7596
1620,64.1485
1096,19.4931
1121,98.3299
2160,56.4218
2438,39.8473
1737,92.2021
1787,89.4394
81,97.1692
1282,100.5511
1939,94.0936
1856,82.2074
69,47.4687
1726,89.1857
1524,57.7339
846,75.1243
1156,98.2861
2281,103.0863
2535,45.218
1848,10.5111
1591,98.5047
2196,79.287
1294,70.6627
1401,75.874
2387,97.2308
682,95.4553
160,120.4883
1570,95.6298
849,91.7458
798,88.4393
443,98.1926
1138,46.4716
704,101.3764
1036,79.8702
2267,79.9378
499,26.8468
1360,105.3195
2016,97.1649
1881,25.5491
2032,3.1109
1084,96.8533
2485,20.5413
333,28.8101
1433,44.7549
264,84.8796
1455,79.8926
2179,97.9605
2341,84.2583
1283,42.1338
2114,32.1197
1604,81.1883
1623,52.1101
709,97.5895
958,3.8782
2256,90.5563
2362,98.6574
745,88.8768
2170,19.9672
303,103.2083
1983,67.1618
532,47.1622
1805,43.5209
43,95.2686
1074,23.9015
2483,41.7109
356,36.3526
975,105.9204
2369,105.0016
2166,108.0458
256,91.3529
1812,84.7344
2190,21.5246
1446,97.9494
2126,54.4531
253,99.3183
1391,83.007
985,62.1446
2184,69.8209
2519,81.0062
1273,89.6974
2448,80.8406
2452,22.6383
2319,97.0848
764,96.7443
602,90.9781
1712,57.8972
1341,93.009
1745,95.6289
2243,99.7555
1239,55.6233
1617,62.4841
1777,100.5078
1816,96.8355
2140,92.7285
1716,118.1178
1368,98.7614
2158,87.7863
1658,98.2261
306,65.1635
747,85.9805
568,59.5843
1850,48.9817
455,68.1098
1580,84.3189
1356,70.7461
445,49.2441
34,0.2537
1501,65.1709
500,79.2632
1894,93.4186
957,100.7766
209,104.1392
149,97.4193
1563,53.6071
1363,100.5033
88,51.2941
452,58.3352
876,102.1106
1697,106.1997
1347,19.901
737,103.7722
346,99.937
282,97.2705
1684,44.0257
969,142.7541
1703,105.6005
475,106.1721
2512,63.7936
260,96.1003
818,14.85
1145,65.6253
1475,37.7193
2334,71.0635
273,93.7767
1973,99.8043
625,63.6454
1862,10.1375
67,15.5851
1807,97.7872
857,97.3391
2510,98.1635
643,93.8076
2061,75.2573
905,75.6296
699,99.9112
2202,37.4575
847,51.4014
2229,94.0453
201,90.4757
1809,96.0826
955,13.2173
1740,111.7402
2526,91.5283
1384,76.8023
1566,98.6009
1934,83.8552
1561,75.5281
1595,82.6487
617,98.5065
677,27.6729
2421,96.7351
1167,43.166
2161,92.2959
2298,97.4109
2092,52.9286
1639,91.5609
1642,110.984
1457,98.7856
2304,104.2478
1844,93.7755
1924,100.3495
1982,96.3546
3,46.3638
1346,44.934
834,52.0957
1860,104.4097
1575,96.4086
37,63.8661
