ID,Target
32,105.9174
376,101.9538
71,63.7364
2232,73.8086
2018,108.2777
1971,80.4699
1727,70.8499
2220,74.4151
27,54.8627
622,100.5932
1065,88.171
399,62.6647
2088,95.7304
2059,90.2057
1256,87.799
441,56.0709
833,92.596
428,34.7344
1875,21.6015
1466,51.1244
2503,78.2254
1112,87.1259
1114,43.2209
870,77.7221
2100,83.4711
666,71.4234
768,89.9506
1192,40.4181
280,79.8211
2453,88.098
315,109.6001
417,63.6931
1165,92.4091
1841,78.0237
2532,5.1275
1052,118.3995
2373,93.8447
434,85.6151
921,78.4905
1734,7.79
1189,20.8694
901,54.5368
2297,49.165
301,17.2053
1719,108.035
659,102.2544
1428,22.3077
614,90.424
2052,87.2868
39,15.5493
460,102.6648
2096,47.5768
1197,84.6676
525,88.9597
670,67.5362
1718,60.7994
14,98.95
75,77.8761
1107,96.2316
2357,90.5962
1796,73.261
1961,76.363
424,23.1072
1534,81.7197
534,72.2734
54,95.9859
1500,91.1057
2031,92.3124
360,76.4034
2385,90.9652
225,82.7401
2311,99.5103
1223,67.0918
416,84.2597
1523,90.6962
1390,61.6723
398,90.1344
1620,67.4342
1096,24.2705
1121,99.3207
2160,63.2167
2438,49.5903
1737,90.1089
1787,91.7582
81,96.6342
1282,101.949
1939,92.9479
1856,83.6727
69,55.8653
1726,92.2767
1524,58.3888
846,78.9286
1156,98.741
2281,104.0686
2535,53.6853
1848,15.3175
1591,94.9531
2196,76.3266
1294,71.5912
1401,69.1462
2387,94.1097
682,95.0272
160,121.956
1570,95.3538
849,91.653
798,86.8703
443,97.1533
1138,43.8136
704,101.427
1036,76.095
2267,80.1503
499,24.9472
1360,104.3833
2016,96.9302
1881,27.2282
2032,3.5946
1084,97.1712
2485,21.2824
333,40.7171
1433,64.4231
264,87.5187
1455,84.5018
2179,99.8434
2341,82.9223
1283,28.6574
2114,31.4803
1604,90.8288
1623,40.5405
709,97.3898
958,4.5324
2256,88.374
2362,98.0176
745,89.3673
2170,15.101
303,103.5312
1983,57.4717
532,47.8848
1805,44.3124
43,93.9482
1074,33.6464
2483,67.1912
356,35.0632
975,103.5326
2369,104.9467
2166,107.5925
256,92.7546
1812,83.7186
2190,23.5212
1446,96.965
2126,51.2062
253,99.4132
1391,79.0483
985,61.6244
2184,68.0035
2519,78.9391
1273,87.5418
2448,81.4189
2452,20.7733
2319,96.4179
764,96.488
602,87.3872
1712,59.2656
1341,90.0672
1745,93.2025
2243,96.1563
1239,64.7087
1617,63.3076
1777,99.4402
1816,95.2685
2140,90.4838
1716,116.6287
1368,98.641
2158,87.9565
1658,98.4947
306,62.6781
747,85.9282
568,61.3317
1850,70.1519
455,76.8105
1580,88.9786
1356,68.6245
445,65.3825
34,2.0957
1501,67.8333
500,81.0933
1894,93.0994
957,99.4658
209,103.4585
149,97.4515
1563,65.3421
1363,98.8385
88,52.9675
452,70.9619
876,99.7584
1697,105.6238
1347,22.0884
737,103.0029
346,100.1245
282,103.6926
1684,37.2465
969,136.4742
1703,107.7284
475,106.0105
2512,63.7043
260,94.2574
818,16.3564
1145,62.5979
1475,35.7943
2334,72.771
273,93.2388
1973,98.4271
625,64.2324
1862,8.1917
67,4.6124
1807,96.194
857,100.2938
2510,97.7998
643,91.7785
2061,71.528
905,83.3146
699,99.5306
2202,49.3863
847,54.2766
2229,88.9413
201,89.2006
1809,95.4909
955,14.8218
1740,113.192
2526,88.6168
1384,72.4501
1566,99.5251
1934,94.4811
1561,77.0421
1595,81.5579
617,90.5716
677,21.3259
2421,95.4933
1167,57.8319
2161,90.803
2298,96.4627
2092,53.3577
1639,92.078
1642,112.2289
1457,99.2183
2304,100.2624
1844,94.1274
1924,101.2364
1982,95.2259
3,47.7448
1346,55.8181
834,60.4465
1860,102.4324
1575,97.2855
37,65.5325
406,87.4139
1904,95.0131
328,74.9621
2204,95.2676
2501,96.6988
451,104.1919
2112,7.572
2534,73.9136
2333,65.5788
420,62.8478
2137,51.0392
120,102.1512
2426,95.6172
1206,13.9521
1226,54.4844
679,96.2098
1179,14.4611
1002,5.2127
1426,88.6166
1653,50.0026
1053,63.3983
683,107.5907
591,89.8424
686,86.8425
2498,72.7283
77,56.4528
504,118.0106
378,68.4948
1744,4.8818
1377,104.6761
684,84.0131
1159,73.1353
1081,91.3097
249,11.6942
1071,98.0792
1122,89.2848
2342,100.8184
478,99.8979
825,84.2112
1322,56.5717
743,80.5059
856,98.3116
314,47.5953
2026,97.5012
2153,95.1444
1350,81.5702
2094,18.8474
539,87.9551
1413,82.9924
802,78.6299
1936,107.9392
752,66.9973
2198,31.8187
1636,39.2707
1773,4.5697
1768,97.9155
156,94.287
2291,92.9532
28,24.1555
1772,39.424
367,91.4898
1091,4.6751
1224,96.9112
2212,67.1065
717,97.9908
1916,87.0293
2021,101.6585
1765,97.421
359,79.5757
1325,91.5551
784,96.139
2429,113.0365
2219,75.5262
2494,99.4911
1808,61.645
2330,73.5988
2477,95.3275
2289,83.8201
1461,53.1068
652,97.046
1568,91.047
524,11.198
1317,13.1088
629,95.013
1434,101.1437
2296,67.5993
829,67.5417
2391,28.8368
814,110.0878
219,89.7822
2379,88.8059
2411,114.7928
708,87.523
1361,96.9602
1849,92.7672
1393,99.9608
2148,101.0442
1828,51.3787
2321,86.5036
202,84.2249
2300,93.6362
739,67.4761
1421,76.8394
2407,59.9037
228,90.4594
582,100.6616
2055,85.67
9,90.6076
1418,98.3304
1913,103.2992
819,80.2645
2506,52.6445
2255,68.4911
339,5.2769
1101,64.3873
1026,86.3866
748,106.7156
1436,94.3131
733,96.2353
112,78.8782
1666,62.5548
1742,71.3453
477,87.4665
357,100.0867
2523,93.46
1578,78.7295
543,74.8324
2274,81.0883
1663,62.3609
2505,53.1032
388,94.9343
252,67.8333
2175,47.6242
2400,57.1719
92,93.0293
655,96.3544
2419,78.5935
2337,30.3573
517,52.0034
1928,77.3375
1087,50.6794
345,98.9996
880,89.348
1089,76.134
2476,97.8956
2225,86.1087
1342,34.7505
2164,23.6152
2493,71.8171
738,90.112
446,33.642
407,97.2692
336,64.8376
1821,5.6608
1979,85.8555
1912,82.3775
2279,104.1357
1105,23.6184
436,50.1574
1215,87.5042
1201,90.6431
990,95.2483
2417,22.5388
2082,83.635
1042,41.9453
1106,101.4913
2309,91.6259
1681,84.2674
1974,65.1849
2118,84.0332
1766,92.4617
2104,7.9771
2295,52.5464
563,96.1217
864,63.3498
1788,76.6863
600,18.7355
2015,95.8878
1276,100.3569
2017,18.5755
1376,96.2492
1012,91.6495
2171,97.1392
1470,58.1871
1075,93.1589
427,90.9223
1911,69.014
254,90.6461
279,97.1614
994,100.459
1986,91.0485
194,105.4544
1654,24.0493
2322,99.323
2209,98.0333
2287,72.1266
2511,63.2497
1976,30.5234
1007,78.7729
866,43.8694
1176,102.2519
2425,82.8162
727,96.4338
927,87.0721
1530,102.7595
2222,97.6713
327,74.961
2068,94.3901
2495,85.5957
756,89.0265
493,61.4782
2127,99.8634
1018,99.0425
351,91.7819
95,71.9601
73,72.2001
1264,101.4712
991,43.8395
86,97.6773
790,84.1406
2338,73.6858
741,96.6018
2406,78.7027
1978,99.9254
2185,74.8878
491,87.6832
497,103.7285
2138,93.2578
5,105.7398
2315,27.5609
45,26.1608
203,53.196
1028,81.5388
705,58.1806
564,96.822
474,94.6908
1194,93.2692
129,84.0352
800,70.1747
1353,76.5581
730,99.8889
1822,40.827
1886,34.8177
289,51.4355
1373,85.956
2224,64.2202
2271,81.5598
1776,79.7568
806,86.7629
553,46.0457
2430,92.9871
837,9.6522
1984,87.3443
858,65.9609
501,91.463
2011,9.33
237,61.4435
2081,68.6581
1922,97.1984
1419,85.9172
1014,34.5874
1340,76.8005
482,82.1104
783,2.7376
1918,91.3963
235,102.5628
276,15.0849
1970,100.481
1088,56.7161
1829,26.5413
2410,82.733
1431,74.8256
884,77.1508
2402,92.8121
1338,90.4688
1281,96.4944
960,91.2194
1859,30.2099
2174,18.3497
2399,66.1686
1958,62.0608
18,87.2977
1180,111.4881
97,109.4863
1905,88.2951
174,98.7321
2249,59.5999
450,61.536
1784,80.992
1465,91.2236
2415,73.3019
317,88.5482
2152,110.7769
1665,94.7489
412,84.7104
723,49.231
168,85.1846
2090,64.0903
2188,99.4473
2310,76.9392
1094,106.9853
1632,101.296
1054,82.1161
187,75.7444
1611,82.9938
35,93.6413
62,92.6296
1323,98.0144
667,97.2794
1307,98.6833
2434,82.7574
2305,97.4172
226,70.3781
1515,72.3227
84,66.4374
973,101.6065
2266,20.8467
1741,62.0404
57,95.4196
1969,23.3099
2482,79.532
1562,101.1069
349,96.7955
1494,76.5856
2145,83.3591
128,102.5449
1547,20.6824
1567,56.7851
2353,68.1335
1705,88.4379
521,105.6043
79,88.1966
1441,87.501
2036,101.5106
1564,85.6893
1779,8.9148
272,107.8963
1660,59.7774
1429,89.8615
94,97.8611
2468,89.3918
386,42.6374
1267,96.4612
74,72.725
507,95.5689
621,97.3361
48,94.3271
610,12.246
1702,66.9746
1400,92.1411
1634,44.2385
171,42.1557
1460,65.0386
1309,96.8685
1592,103.2055
1836,89.5935
1750,10.2006
636,20.5049
1692,70.7148
598,5.1359
1351,33.3215
1058,62.4962
1344,30.0192
1202,95.1871
2074,84.3483
1963,28.7413
1456,93.2785
1069,102.7338
871,100.4795
1330,7.002
1387,75.2933
2106,99.2943
1077,21.7633
1599,96.1407
2481,57.0354
1927,95.503
1286,25.2813
2496,96.5483
164,49.6958
1430,97.2239
1804,94.1808
2389,16.5604
341,90.3049
845,108.3537
1109,71.0285
868,92.7039
2087,87.6722
1024,73.9522
1668,73.6062
2038,96.0203
2500,57.1112
104,103.6076
1586,88.6831
2522,7.9166
1688,101.1882
1792,73.0088
943,96.9703
20,33.6901
1312,93.5094
1435,90.8785
869,6.7121
1383,70.151
1359,109.9078
640,54.5488
2008,94.7218
1700,66.8392
1193,83.6115
882,1.4644
688,22.0975
90,72.1843
612,48.7073
24,102.0912
1589,73.5709
2268,39.8865
2364,46.7638
2386,102.2145
557,88.849
589,67.5771
250,98.3226
1032,75.3913
2133,47.5741
66,96.6595
584,58.7642
102,97.082
1316,97.7335
1270,61.5602
2396,23.9942
1520,63.589
673,103.0313
2278,98.6746
1861,83.4176
1355,99.9596
1896,82.2496
2316,23.3868
767,89.8663
899,76.5107
1771,93.4448
2332,88.7908
944,74.107
2422,58.9937
1023,83.7244
809,104.5557
924,104.3025
2215,102.0983
623,75.4285
323,8.6489
391,72.0904
2359,80.5764
113,86.0284
52,29.7703
321,94.3269
1898,92.2904
402,105.4279
2398,89.0981
1661,64.0068
647,105.0914
1366,98.672
124,69.3061
1548,101.2932
2236,99.9657
1901,85.3838
639,89.3086
516,107.6052
1040,99.9961
974,98.3869
1908,106.9709
1308,95.4369
180,38.0083
1345,112.7827
2479,53.786
2383,101.4586
1333,101.3628
2323,84.5734
1352,95.9974
1261,94.9454
2057,102.4917
1915,99.2693
1552,92.3299
1423,46.6942
1249,72.5366
1371,108.9905
1019,75.0962
2211,96.207
1459,101.7363
423,87.034
1987,90.6207
1551,61.2026
2259,102.1135
2119,49.4883
915,88.4652
396,96.9985
288,99.0897
887,79.6706
2363,91.3261
2401,54.8107
1443,10.9619
2371,18.4819
2433,52.7767
33,54.2005
1198,41.6341
1806,60.11
1825,34.9935
458,111.7702
2356,103.7224
64,87.0513
649,93.6252
1484,75.7206
867,55.4296
