ID,Target
32,100.6792
376,102.4417
71,59.8515
2232,74.2048
2018,108.0957
1971,68.905
1727,70.5508
2220,83.2047
27,53.2978
622,99.9269
1065,88.2471
399,63.031
2088,96.4668
2059,88.8222
1256,90.7975
441,56.825
833,91.8076
428,35.7593
1875,21.769
1466,52.5261
2503,84.3021
1112,87.183
1114,44.3462
870,77.3349
2100,86.3458
666,56.5305
768,82.6778
1192,41.1542
280,81.1161
2453,86.835
315,110.5893
417,63.0004
1165,91.2914
1841,73.0642
2532,5.4056
1052,120.7889
2373,93.505
434,81.3967
921,78.3063
1734,8.3779
1189,25.0484
901,54.4882
2297,49.2913
301,15.9976
1719,107.1793
659,102.567
1428,24.5716
614,81.3054
2052,85.7126
39,18.1722
460,101.678
2096,48.4423
1197,84.1676
525,91.4811
670,66.4671
1718,58.1489
14,98.8924
75,78.9695
1107,94.3333
2357,91.1821
1796,72.2175
1961,76.0385
424,22.6142
1534,79.9307
534,74.4897
54,96.5254
1500,92.2371
2031,91.5147
360,78.904
2385,84.1762
225,81.608
2311,95.8657
1223,66.4617
416,83.9125
1523,91.1919
1390,66.2996
398,89.9459
1620,66.332
1096,22.3532
1121,98.4507
2160,60.6169
2438,43.6277
1737,92.77
1787,89.1541
81,96.3102
1282,101.5785
1939,93.0607
1856,81.5318
69,56.2684
1726,91.6548
1524,58.2519
846,74.7421
1156,97.2743
2281,104.7504
2535,43.776
1848,11.3867
1591,97.7665
2196,78.4006
1294,68.3648
1401,70.9899
2387,96.0425
682,95.3805
160,121.4626
1570,92.5111
849,93.5232
798,85.5649
443,97.8139
1138,44.4169
704,100.4792
1036,78.4537
2267,80.8198
499,28.0379
1360,106.1645
2016,97.4528
1881,25.9143
2032,3.4252
1084,95.8482
2485,20.5022
333,28.9112
1433,54.3392
264,85.1549
1455,85.6028
2179,97.6799
2341,83.9703
1283,35.8247
2114,30.7549
1604,82.1633
1623,41.7086
709,97.7486
958,4.3435
2256,91.8889
2362,97.6338
745,88.6449
2170,16.8711
303,103.0168
1983,75.5437
532,47.8799
1805,44.4857
43,94.3785
1074,26.6346
2483,48.8499
356,33.7712
975,104.1169
2369,104.6996
2166,106.453
256,92.4047
1812,84.7759
2190,21.6329
1446,97.5415
2126,50.995
253,98.9211
