ID,Target
32,97.5096
376,102.6888
71,69.4159
2232,75.6799
2018,109.9213
1971,59.1255
1727,77.6191
2220,85.2307
27,55.3501
622,100.3605
1065,84.7841
399,63.288
2088,97.0668
2059,86.888
1256,85.9314
441,56.7435
833,93.7413
428,36.4215
1875,19.1185
1466,45.6795
2503,75.1574
1112,84.3867
1114,43.3169
870,72.2244
2100,82.4573
666,45.1989
768,83.9269
1192,29.8483
280,77.3173
2453,86.1179
315,110.6002
417,75.7934
1165,89.9411
1841,76.9459
2532,7.4747
1052,118.9127
2373,93.9375
434,83.6036
921,74.3321
1734,14.4516
1189,23.5375
901,55.1747
2297,52.4361
301,16.4859
1719,106.1526
659,93.865
1428,19.9505
614,75.6199
2052,86.1111
39,11.6874
460,100.986
2096,49.8222
1197,77.1638
525,88.6298
670,66.2492
1718,65.8948
14,98.0869
75,81.3973
1107,93.3959
2357,90.2967
1796,72.7157
1961,76.793
424,20.7543
1534,84.8982
534,76.1554
54,97.3002
1500,93.6344
2031,91.1964
360,76.0778
2385,86.5224
225,88.3171
2311,96.3284
1223,66.3222
416,83.6748
1523,91.8483
1390,66.4054
398,88.0034
1620,66.3975
1096,18.3712
1121,99.0929
2160,55.9119
2438,34.7444
1737,92.388
1787,89.3379
81,96.674
1282,100.579
1939,92.2729
1856,82.5573
69,42.2948
1726,88.1098
1524,59.4473
846,74.5034
1156,98.0227
2281,104.6556
2535,37.0741
1848,18.1226
1591,97.2551
2196,83.6077
1294,76.3815
1401,75.2551
2387,96.8231
682,95.8444
160,121.4996
1570,98.2322
849,89.8323
798,86.3723
443,97.7326
1138,34.1123
704,100.8522
1036,86.3978
2267,77.4005
499,27.0423
1360,105.137
2016,97.6086
1881,25.4626
2032,3.8989
1084,95.7363
2485,21.4426
333,28.633
1433,40.6267
264,85.7839
1455,78.8314
2179,99.2498
2341,77.717
1283,33.3749
2114,30.2547
1604,83.361
1623,53.534
709,97.5847
958,4.6867
2256,90.9212
2362,98.9868
745,88.9767
2170,16.8979
303,102.6701
1983,73.0798
532,46.5918
1805,37.7315
43,95.1762
1074,20.7291
2483,47.486
356,39.0947
975,106.7545
2369,102.838
2166,109.4801
256,92.7078
1812,81.3762
2190,28.0322
1446,97.4222
2126,53.8381
253,101.549
1391,84.5157
985,61.9354
2184,69.4396
2519,79.122
1273,93.1154
2448,78.8717
2452,19.7167
2319,96.2919
764,96.9127
602,91.1799
1712,50.4787
1341,93.2538
1745,96.004
2243,96.7782
1239,50.3995
1617,62.4077
1777,99.785
1816,96.1077
2140,92.7868
1716,117.8313
1368,99.0293
2158,86.3197
1658,98.1939
306,67.3419
747,86.6376
568,64.0187
1850,69.8667
455,81.0973
1580,83.126
1356,74.4759
445,51.9952
34,3.0167
1501,67.8203
500,74.0639
1894,91.9376
957,101.7699
209,102.3498
149,98.397
1563,59.738
1363,96.6583
88,55.4429
452,69.9131
876,102.4308
1697,106.6213
1347,21.3697
737,103.6177
346,99.6573
282,93.5348
1684,49.3854
969,141.0017
1703,106.4343
475,106.4519
2512,67.1548
260,95.6179
818,15.9919
1145,56.8327
1475,31.6845
2334,73.0882
273,93.2617
1973,94.366
625,65.5265
1862,11.8592
67,3.8119
1807,97.0958
857,103.0263
2510,97.8425
643,95.6256
2061,74.2373
905,66.9275
699,99.3937
2202,36.7954
847,51.2398
2229,93.1871
201,91.08
1809,90.2395
955,25.3108
1740,111.4768
2526,84.428
1384,73.7263
1566,98.6329
1934,84.4523
1561,78.3611
1595,86.7674
617,102.7538
677,9.8559
2421,96.1094
1167,35.0209
2161,91.8248
2298,97.1786
2092,50.7006
1639,97.131
1642,112.7058
1457,98.4085
2304,105.4769
1844,97.6499
1924,99.9278
1982,96.6152
3,47.6991
1346,51.0374
834,52.972
1860,103.6458
1575,96.8219
37,61.2731
406,75.1744
1904,97.0992
328,76.1357
2204,96.7664
2501,97.8162
451,105.9802
2112,3.8176
2534,70.6235
2333,65.4141
420,57.9525
2137,51.5984
120,84.6449
2426,95.6308
1206,3.5013
1226,54.9417
679,97.0147
1179,25.231
1002,9.6431
1426,63.8789
1653,52.1532
1053,67.4871
683,109.4552
591,92.5166
686,81.3597
2498,78.4021
77,58.7422
504,120.6606
378,76.8459
1744,2.941
1377,101.2604
684,84.1868
1159,80.2922
1081,93.7762
249,17.8683
1071,100.1813
1122,94.1975
2342,99.7619
478,99.1754
825,85.8413
1322,36.8698
743,63.4222
856,98.3603
314,43.1212
2026,97.8719
2153,96.0616
1350,84.873
2094,19.7394
539,89.6253
1413,81.2366
802,80.0127
1936,109.6946
752,69.7278
2198,24.4555
1636,38.004
1773,8.4152
1768,98.5593
156,92.7991
2291,96.6648
28,12.5959
1772,36.3571
367,94.2548
1091,4.7441
1224,97.6501
2212,64.3148
717,97.1221
1916,72.7509
2021,88.8236
1765,97.8365
359,77.5895
1325,45.3587
784,96.7089
2429,112.3165
2219,69.0365
2494,100.7922
1808,65.125
2330,72.3734
2477,87.6203
2289,77.8597
1461,59.5618
652,97.0265
1568,91.8421
524,8.5249
1317,12.9732
629,90.2145
1434,100.566
2296,66.2964
829,66.546
2391,32.9709
814,111.598
219,89.3595
2379,91.8787
2411,113.011
708,89.1375
1361,96.9508
1849,93.0848
1393,99.4636
2148,100.0569
1828,48.0001
2321,89.3739
202,94.3813
2300,95.4988
739,65.4589
1421,75.6332
2407,55.9761
228,89.3736
582,99.5004
2055,86.5953
9,94.579
1418,87.4575
1913,104.9964
819,78.4606
2506,57.6869
2255,68.8828
339,9.3862
1101,60.6564
1026,83.178
748,104.4701
1436,86.6935
733,100.0959
112,88.7377
1666,60.5598
1742,77.2692
477,45.226
357,74.4128
2523,96.0112
1578,65.2895
543,86.4294
2274,81.2818
1663,60.8467
2505,56.5153
388,93.8045
252,67.8203
2175,50.1316
2400,61.6835
92,92.8009
655,98.8423
2419,88.7005
2337,16.5641
517,54.6632
1928,81.4172
1087,42.8485
345,98.2563
880,89.8516
1089,68.0104
2476,97.8828
2225,94.0443
1342,28.5615
2164,26.2922
2493,69.6628
738,87.2996
446,23.3726
407,99.0125
336,62.3779
1821,12.3215
1979,87.6728
1912,84.9819
2279,101.845
1105,21.3876
436,50.0745
1215,87.1428
1201,89.6595
990,95.2349
2417,15.864
2082,83.4477
1042,30.7473
1106,101.2762
2309,68.6286
1681,91.4842
1974,61.4617
2118,28.8817
1766,90.7626
2104,8.4394
2295,49.4561
563,95.9477
864,58.5069
1788,82.2895
600,24.2407
2015,96.9681
1276,99.177
2017,6.7578
1376,96.4425
1012,85.939
2171,96.2968
1470,60.4772
1075,93.2136
427,92.8423
1911,68.9804
254,90.795
279,97.514
994,102.5788
1986,90.0862
194,106.9687
1654,32.7105
2322,101.482
2209,98.4757
2287,74.2375
2511,63.4496
1976,20.0416
1007,72.3526
866,43.0392
1176,101.7212
2425,81.905
727,97.3752
927,87.5347
1530,103.0908
2222,98.6579
327,77.0487
2068,92.9796
2495,86.0598
756,93.1245
493,52.6374
2127,105.1309
1018,98.5373
351,93.975
95,56.0269
73,70.5081
1264,102.4719
991,43.0286
86,98.8422
790,87.2428
2338,96.1941
741,96.7646
2406,80.632
1978,99.5237
2185,59.6526
491,86.9119
497,101.5045
2138,79.6445
5,97.852
2315,27.2169
45,17.9292
203,56.4358
1028,78.7946
705,46.0479
564,97.5694
474,96.2725
1194,93.1354
129,81.3178
800,66.5788
1353,80.8308
730,100.4076
1822,40.598
1886,32.9182
289,51.695
1373,74.787
2224,63.5417
2271,69.285
1776,83.4202
806,80.8318
553,49.9029
2430,93.9235
837,16.6102
1984,89.8648
858,68.0641
501,94.8998
2011,9.8522
237,66.7956
2081,58.8094
1922,98.1185
1419,82.6992
1014,35.1867
1340,63.9327
482,76.9976
783,2.6939
1918,90.6644
235,105.2198
276,13.2933
1970,97.0852
1088,56.9241
1829,23.8562
2410,80.4367
1431,75.4615
884,84.4804
2402,96.0838
1338,93.471
1281,89.1211
960,92.9907
1859,29.112
2174,12.5589
2399,54.3264
1958,59.7476
18,89.2617
1180,112.0572
97,112.7638
1905,91.4441
174,98.8791
2249,61.5871
450,51.6234
1784,63.9714
1465,96.9337
2415,75.6129
317,86.2255
2152,114.7213
1665,95.7465
412,82.547
723,50.6201
168,88.4842
2090,64.6138
2188,99.1249
2310,74.1583
1094,107.3003
1632,100.3898
1054,86.5009
187,80.594
1611,81.969
35,99.1218
62,92.9864
1323,97.6476
667,96.8965
1307,95.4839
2434,74.591
2305,97.4151
226,66.45
1515,75.7409
84,66.202
973,100.9713
2266,15.1046
1741,62.4142
57,97.2315
1969,25.8353
2482,81.9632
1562,101.8189
349,97.2056
1494,81.2944
2145,59.4154
128,100.304
1547,12.6068
1567,51.7404
2353,65.9197
1705,88.2637
521,107.1308
79,89.6074
1441,86.5135
2036,100.1257
1564,83.9746
1779,14.0093
272,107.1372
1660,57.4616
1429,85.625
94,97.621
2468,88.6044
386,37.7896
1267,96.9575
74,67.7992
507,96.287
621,98.4163
48,96.9399
610,9.6163
1702,67.7384
1400,90.3348
1634,40.6165
171,34.1239
1460,63.5207
1309,98.4758
1592,104.2168
1836,90.2893
1750,11.4693
636,18.8841
1692,65.4782
598,5.1486
1351,39.4472
1058,62.8028
1344,28.7195
1202,97.1472
2074,83.9447
1963,25.9022
1456,91.5509
1069,101.6395
871,99.2901
1330,6.3894
1387,81.9418
2106,101.3187
1077,17.881
1599,97.1851
2481,77.4817
1927,96.5548
1286,24.3513
2496,96.5474
164,52.4498
1430,98.6436
1804,92.6161
2389,29.7903
341,90.1498
845,109.153
1109,82.8996
868,89.7566
2087,90.7388
1024,78.5204
1668,68.4629
2038,96.5466
2500,56.3287
104,104.3554
1586,91.556
2522,5.1686
1688,100.914
1792,70.8491
943,98.0989
20,43.6367
1312,93.1978
1435,88.5884
869,2.4123
1383,70.5184
1359,119.1493
640,52.701
2008,96.8182
1700,62.5076
1193,82.8103
882,0.8808
688,22.0193
90,79.4396
612,53.3326
24,103.0058
1589,70.9335
2268,34.6109
2364,44.3858
2386,100.1509
557,89.7942
589,56.3332
250,99.122
1032,77.874
2133,40.2314
66,95.4559
584,52.9115
102,98.7156
1316,98.3052
1270,62.9569
2396,20.766
1520,72.3457
673,103.3387
2278,99.3833
1861,83.9274
1355,101.0332
1896,74.0063
2316,23.8674
767,87.5171
899,77.975
1771,95.7789
2332,90.2027
944,70.1482
2422,60.8793
1023,86.9849
809,103.877
924,105.0216
2215,100.7289
623,73.4345
323,14.4184
391,71.5871
2359,83.3538
113,86.2375
52,33.7837
321,92.918
1898,93.5473
402,105.8081
2398,88.3255
1661,64.5688
647,90.9426
1366,98.7763
124,74.7745
1548,101.3605
2236,101.375
1901,82.9804
639,82.1942
516,107.5266
1040,101.6439
974,98.0565
1908,106.4011
1308,95.3899
180,25.2936
1345,115.2007
2479,51.1752
2383,103.5615
1333,100.884
2323,76.3085
1352,97.9053
1261,96.7848
2057,102.4093
1915,100.4371
1552,88.5666
1423,51.983
1249,70.4098
1371,111.1239
1019,75.1898
2211,98.047
1459,99.1038
423,70.2335
1987,89.3456
1551,63.6625
2259,102.8378
2119,53.7731
915,87.1804
396,92.5013
288,98.168
887,80.1896
2363,91.7244
2401,49.2609
1443,9.1296
2371,24.508
2433,59.3654
33,56.234
1198,46.0896
1806,59.263
1825,35.7664
458,112.3771
2356,103.9734
64,92.7071
649,94.1727
1484,79.2906
867,71.9554
