ID,Target
32,105.2189
376,101.8961
71,62.1664
2232,76.7575
2018,105.883
1971,72.7497
1727,70.3163
2220,77.0049
27,52.9315
622,101.6023
1065,91.2657
399,62.8105
2088,95.0488
2059,92.3128
1256,86.5765
441,55.5664
833,94.7509
428,33.2598
1875,22.9122
1466,54.0599
2503,68.5624
1112,86.2192
1114,42.6016
870,76.9159
2100,84.5133
666,67.6668
768,90.0714
1192,42.9162
280,78.2413
2453,87.1346
315,109.2479
417,74.8469
1165,93.6056
1841,80.3574
2532,6.7589
1052,116.6702
2373,89.8428
434,91.7355
921,79.5878
1734,7.0718
1189,21.1957
901,55.3075
2297,52.3073
301,17.7642
1719,106.2036
659,99.9691
1428,23.5691
614,87.8991
2052,88.2812
39,11.7489
460,104.1671
2096,48.8466
1197,79.8406
525,88.6587
670,67.2406
1718,65.717
14,98.6821
75,77.7074
1107,97.682
2357,90.679
1796,69.927
1961,76.8399
424,23.9697
1534,83.6591
534,74.1096
54,94.7339
1500,91.7075
2031,93.8923
360,73.9447
2385,92.4653
225,88.28
2311,95.806
1223,67.9087
416,84.0633
1523,90.4321
1390,64.8312
398,89.1215
1620,67.0138
1096,18.939
1121,98.5774
2160,53.3103
2438,42.35
1737,92.4583
1787,89.4753
81,95.1987
1282,100.992
1939,93.0772
1856,84.4711
69,51.3398
1726,93.4702
1524,59.166
846,70.4518
1156,98.3813
2281,102.4072
2535,55.6222
1848,14.1
1591,96.0258
2196,74.5389
1294,69.2339
1401,71.694
2387,95.98
682,95.0867
160,121.4894
1570,94.5699
849,91.7027
798,87.7112
443,97.6404
1138,45.9412
704,101.3286
1036,81.5501
2267,79.4674
499,25.3884
1360,103.9398
2016,97.0008
1881,26.7009
2032,3.1277
1084,96.2388
2485,24.1609
333,42.1874
1433,58.9084
264,86.9483
1455,78.7235
2179,97.4386
2341,86.5083
1283,35.1667
2114,35.8058
1604,90.3938
1623,50.7102
709,97.3315
958,4.0442
2256,88.9838
2362,97.9766
745,90.0245
2170,17.6943
303,101.8412
1983,65.3335
532,48.7344
1805,42.382
43,95.6735
1074,29.1943
2483,60.5871
356,37.7626
975,104.8381
2369,104.8014
2166,107.3202
256,92.2094
1812,86.3869
2190,23.2681
1446,97.2807
2126,56.2526
253,99.6428
1391,81.6939
985,62.2253
2184,70.9616
2519,80.2159
1273,90.2831
2448,80.0379
2452,29.3766
2319,96.3648
764,95.9879
602,90.5088
1712,58.5538
1341,91.3364
1745,93.5377
2243,99.7699
1239,59.6219
1617,64.878
1777,100.0914
1816,96.2091
2140,91.7889
1716,117.4104
1368,98.6262
2158,88.4154
1658,98.4608
306,65.9034
747,85.94
568,58.2451
1850,63.6531
455,70.457
1580,87.9036
1356,67.295
445,54.0613
34,1.6719
1501,66.6286
500,79.7659
1894,93.4914
957,100.1668
209,104.5765
149,96.6344
1563,62.0995
1363,99.2574
88,52.9318
452,67.8927
876,100.7759
1697,105.9958
1347,22.2864
737,102.6176
346,99.9737
282,103.0286
1684,46.2682
969,134.8849
1703,107.9015
475,104.8613
2512,62.9147
260,95.1572
818,15.3868
1145,63.8595
1475,36.0509
2334,70.8666
273,93.9092
1973,97.1062
625,63.478
1862,10.3086
67,15.2828
1807,97.178
857,96.8996
2510,97.8359
643,93.941
2061,74.0767
905,77.7106
699,100.0496
2202,39.8856
847,51.4227
2229,94.109
201,89.0046
1809,88.7537
955,11.9801
1740,113.1339
2526,92.4844
1384,72.5034
1566,98.8477
1934,90.4202
1561,77.5941
1595,82.4941
617,99.7318
677,52.0156
2421,96.0684
1167,56.387
2161,92.5045
2298,97.1102
2092,51.2099
1639,90.6661
1642,110.3703
1457,98.6275
2304,99.731
1844,92.6108
1924,100.5527
1982,95.8878
3,46.2405
1346,54.1908
834,63.8751
1860,102.7208
1575,97.0965
37,66.802
406,86.7444
1904,95.9509
328,76.5461
2204,95.6493
2501,96.9618
451,103.9654
2112,20.65
2534,76.6569
2333,67.0966
420,61.9999
2137,52.1432
120,100.9571
2426,95.3109
1206,11.3549
1226,56.2655
679,95.9582
1179,10.3479
1002,4.7885
1426,82.6633
1653,50.6587
1053,70.1846
683,106.1965
591,92.7837
686,89.9596
2498,73.5838
77,57.0388
504,116.3825
378,70.2582
1744,4.2446
1377,104.9055
684,84.5116
1159,68.3863
1081,91.7693
249,15.537
1071,98.5611
1122,90.0813
2342,100.9881
478,100.0576
825,86.0072
1322,54.6311
743,72.0163
856,97.5561
314,47.5865
2026,97.643
2153,96.1009
1350,80.3028
2094,20.5516
539,88.0836
1413,83.981
802,78.6935
1936,108.8347
752,67.4605
2198,26.6509
1636,40.5473
1773,4.7567
1768,97.2043
156,94.1146
2291,96.9404
28,23.0695
1772,32.8446
367,90.4504
1091,4.4942
1224,96.9755
2212,67.2803
717,97.3481
1916,82.7295
2021,99.7434
1765,97.7546
359,77.3801
1325,70.2569
784,96.2088
2429,113.5203
2219,77.9069
2494,99.5833
1808,88.7377
2330,72.9814
2477,94.1179
2289,81.8309
1461,50.618
652,97.562
1568,89.092
524,12.021
1317,12.9709
629,94.0351
1434,102.0704
2296,66.8833
829,67.5235
2391,20.6191
814,108.8115
219,89.3779
2379,90.5027
2411,114.8939
708,88.42
1361,96.9191
1849,92.0706
1393,99.4833
2148,102.5498
1828,52.0232
2321,89.7395
202,82.7709
2300,93.6875
739,72.1536
1421,76.9687
2407,69.088
