ID,Target
32,105.1591
376,102.0478
71,62.5232
2232,75.8724
2018,106.8096
1971,73.4066
1727,73.067
2220,77.2394
27,51.3072
622,101.9783
1065,91.5877
399,63.0318
2088,95.1313
2059,91.4981
1256,83.8975
441,55.3478
833,93.8
428,34.0425
1875,22.6261
1466,51.9893
2503,65.6884
1112,85.9645
1114,42.6646
870,76.6223
2100,83.605
666,66.3301
768,90.8872
1192,41.7891
280,78.1846
2453,87.7008
315,109.2613
417,76.1967
1165,93.4903
1841,80.4715
2532,6.4121
1052,117.1259
2373,89.6397
434,91.5917
921,78.3791
1734,7.2979
1189,21.2339
901,54.8558
2297,51.5055
301,17.2164
1719,106.0842
659,100.877
1428,22.9707
614,87.4934
2052,88.003
39,12.2162
460,104.7444
2096,50.0033
1197,79.1442
525,87.4369
670,66.8712
1718,64.7349
14,99.0501
75,76.423
1107,97.4147
2357,91.177
1796,68.3612
1961,76.6634
424,23.7307
1534,83.1829
534,73.9727
54,94.4048
1500,91.0146
2031,94.4497
360,77.9377
2385,92.987
225,88.2723
2311,96.7286
1223,67.4581
416,84.0057
1523,90.6778
1390,65.4135
398,89.4521
1620,64.185
1096,19.4923
1121,98.6328
2160,53.1695
2438,44.6157
1737,91.143
1787,90.5757
81,96.0323
1282,101.0558
1939,93.7845
1856,84.1565
69,50.9893
1726,92.7745
1524,59.6013
846,73.6067
1156,98.677
2281,102.5661
2535,53.8779
1848,14.5565
1591,95.7552
2196,76.2655
1294,70.0662
1401,71.1086
2387,96.3959
682,95.4626
160,121.9129
1570,94.2342
849,92.3491
798,87.5433
443,97.4854
1138,45.1807
704,101.3675
1036,78.9456
2267,77.6948
499,25.3645
1360,103.7503
2016,96.991
1881,26.3351
2032,3.2982
1084,95.9749
2485,23.5431
333,47.4171
1433,56.4659
264,87.0765
1455,81.1767
2179,98.6985
2341,85.7978
1283,38.1279
2114,33.5551
1604,91.1938
1623,54.1014
709,97.3872
958,4.2223
2256,88.7761
2362,98.055
745,90.2407
2170,16.3888
303,102.3779
1983,61.9364
532,47.8334
1805,42.8269
43,95.587
1074,29.5088
2483,59.0772
356,39.5169
975,105.2545
2369,105.225
2166,107.7036
256,91.948
1812,86.9834
2190,21.1677
1446,97.1125
2126,54.4165
253,99.4379
1391,81.7638
985,62.4667
2184,69.7375
2519,80.4507
1273,89.6305
2448,79.8001
2452,20.1882
2319,96.166
764,96.3025
602,90.8183
1712,59.3085
1341,92.7297
1745,94.6539
2243,100.1395
1239,59.3702
1617,64.322
1777,100.5086
1816,96.2034
2140,91.757
1716,117.7391
1368,98.8046
2158,88.8067
1658,98.4705
306,64.1944
747,85.9775
568,61.3777
1850,62.1223
455,73.8213
1580,87.3979
1356,67.1282
445,54.506
34,1.482
1501,65.9776
500,80.2586
1894,94.0109
957,100.2735
209,104.884
149,97.2155
1563,60.7925
1363,98.5842
88,53.0458
452,68.9382
876,101.0667
1697,106.57
1347,21.0383
737,102.4886
346,100.0248
282,103.3014
1684,55.0109
969,135.5066
1703,108.6436
475,105.0126
2512,64.062
260,94.9271
818,15.5116
1145,61.707
1475,36.763
2334,71.8506
273,93.526
1973,95.7266
625,63.9487
1862,9.7183
67,13.4193
1807,97.2197
857,97.0366
2510,97.4986
643,93.6034
2061,74.346
905,77.792
699,100.1477
2202,42.3949
847,54.6723
2229,93.5532
201,89.0381
1809,91.9753
955,11.9088
1740,113.5663
2526,91.7332
1384,70.8063
1566,98.8205
1934,91.4662
1561,77.3773
1595,81.8857
617,98.4127
677,42.9843
2421,95.851
1167,51.798
2161,91.7835
2298,97.1202
2092,51.1245
1639,89.6397
1642,109.5579
1457,99.3907
2304,99.9674
1844,92.3375
1924,100.6143
1982,96.1509
3,46.7007
1346,52.7358
834,65.317
1860,103.3413
1575,97.2809
37,64.7049
406,84.4051
1904,95.7297
328,75.0034
2204,96.3943
2501,96.9789
451,103.7203
2112,18.8608
2534,77.7087
2333,68.018
420,61.7017
2137,51.3957
120,102.3454
2426,95.6989
1206,9.1239
1226,55.5454
679,95.9625
1179,9.7011
1002,4.8995
1426,81.5
1653,50.9785
1053,73.2552
683,106.499
591,92.9945
686,89.8877
2498,74.4168
77,58.4451
504,116.8483
378,71.0783
1744,3.922
1377,104.9127
684,84.8705
1159,71.041
1081,91.7619
249,16.0668
1071,98.8521
1122,89.905
2342,101.6472
478,100.9469
825,86.5311
1322,50.7535
743,74.2676
856,97.4928
314,46.6339
2026,97.6042
2153,95.3974
1350,80.5016
2094,20.4955
539,88.092
1413,84.8522
802,77.7544
1936,108.5442
752,65.2627
2198,29.9591
1636,38.2218
1773,4.7373
1768,97.4908
156,94.2761
2291,96.6789
28,19.8966
1772,36.8317
367,88.5159
1091,4.5333
1224,97.5023
2212,67.1755
717,97.3667
1916,84.0211
2021,102.3097
1765,97.6389
359,77.3999
1325,74.991
784,96.091
2429,113.4839
2219,73.9309
2494,99.5963
1808,87.4233
2330,73.4695
2477,95.5583
2289,81.4166
1461,50.2452
652,97.6036
1568,89.711
524,12.1301
1317,14.7561
629,92.909
1434,102.9027
2296,65.9662
829,68.2955
2391,21.4193
814,108.9609
219,89.2158
2379,90.2504
2411,114.5145
708,87.9666
1361,96.6664
1849,93.0437
1393,99.8223
2148,103.1258
1828,52.9026
2321,89.9847
202,82.6629
2300,93.9884
739,71.6486
1421,74.9952
2407,70.2178
228,89.6219
582,101.8903
2055,85.2845
9,90.9678
1418,93.5117
1913,104.706
819,82.391
2506,41.7487
2255,76.2285
339,5.2822
1101,61.7935
1026,83.3921
748,107.9674
1436,91.3113
733,96.0943
112,76.6238
1666,59.512
1742,78.6122
477,83.0773
357,100.4792
2523,91.0872
1578,76.979
543,78.7263
2274,82.65
1663,59.3897
2505,52.3334
388,95.9368
252,65.9776
2175,47.464
2400,57.1949
92,93.1506
655,97.4205
2419,82.3299
2337,17.9048
517,57.0341
1928,79.7849
1087,61.3165
345,98.1292
880,89.2962
1089,70.016
2476,97.2414
2225,82.9045
1342,33.9715
2164,25.5652
2493,72.7009
738,93.2965
446,35.6403
407,98.1142
336,65.5143
1821,5.855
1979,84.604
1912,85.0173
2279,104.474
1105,24.1533
436,50.3021
1215,83.0837
1201,91.6618
990,91.3592
2417,15.8944
2082,83.5401
1042,35.9686
1106,100.5052
2309,84.8877
1681,90.6522
1974,65.071
2118,88.9896
1766,89.0041
2104,6.341
2295,53.8706
563,95.4288
864,60.0115
1788,80.7705
600,22.6403
2015,96.6563
1276,100.2232
2017,17.3521
1376,96.0233
1012,90.6391
2171,98.4116
1470,58.7345
1075,96.258
427,93.4991
1911,68.783
254,94.6752
279,96.5407
994,100.727
1986,87.7498
194,107.5546
1654,19.0985
2322,100.1454
2209,98.3267
2287,75.4126
2511,63.9592
1976,25.4323
1007,78.3144
866,44.895
1176,101.781
2425,83.0947
727,95.8168
927,86.5766
1530,102.1877
2222,98.383
327,77.4791
2068,90.8454
2495,85.5914
756,88.2892
493,59.6087
2127,98.7209
1018,98.439
351,93.9221
95,65.2927
73,71.1549
1264,101.5937
991,49.3683
86,97.7512
790,85.3067
2338,84.5576
741,97.2677
2406,76.8853
1978,99.8805
2185,69.5411
491,84.8874
497,102.911
2138,92.083
5,105.548
2315,25.3021
45,25.4735
203,54.1189
1028,78.6396
705,56.3088
564,96.697
474,91.3852
1194,93.0607
129,83.4157
800,79.28
1353,78.2828
730,100.3365
1822,35.5609
1886,29.1123
289,45.6072
1373,83.3837
2224,66.1532
2271,74.9153
1776,71.7281
806,88.7956
553,48.5099
2430,93.2209
837,9.529
1984,89.8022
858,64.6195
501,91.9273
2011,8.6819
237,60.8986
2081,67.2264
1922,97.2901
1419,84.4855
1014,33.7854
1340,77.4491
482,79.3824
783,2.8931
1918,91.7437
235,103.4656
276,15.9024
1970,100.6352
1088,55.8579
1829,24.8369
2410,83.3568
1431,74.6798
884,79.3906
2402,93.3766
1338,93.4832
1281,95.7096
960,92.591
1859,30.889
2174,20.2729
2399,51.8719
1958,60.6109
18,88.9298
1180,112.6288
97,108.2021
1905,89.4862
174,98.1106
2249,52.3347
450,56.7916
1784,73.9484
1465,93.7322
2415,72.4518
317,87.8383
2152,110.7618
1665,94.482
412,85.3112
723,51.4961
168,86.266
2090,64.4276
2188,99.2658
2310,74.9227
1094,107.3635
1632,101.7483
1054,79.9762
187,81.5277
1611,82.7959
35,93.6321
62,94.0773
1323,97.5061
667,96.5947
1307,98.9711
2434,82.8201
2305,97.6783
226,68.6343
1515,75.0203
84,67.2588
973,101.288
2266,19.9309
1741,61.0949
57,97.313
1969,24.9603
2482,84.5014
1562,101.2075
349,96.7864
1494,81.8864
2145,74.8645
128,103.4517
1547,14.3302
1567,56.4006
2353,68.6856
1705,85.9997
521,107.6482
79,88.1591
1441,86.8615
2036,101.6146
1564,85.5182
1779,8.9426
272,108.6507
1660,59.8923
1429,92.4107
94,99.7401
2468,88.3516
386,39.656
1267,96.4919
74,70.3728
507,93.0178
621,97.4135
48,94.6495
610,9.7135
1702,67.0459
1400,88.2955
1634,43.3683
171,44.3814
1460,61.2431
1309,98.0674
1592,103.8957
1836,89.0796
1750,12.6524
636,20.964
1692,70.9146
598,16.0418
1351,28.58
1058,63.3535
1344,31.6364
1202,96.0147
2074,83.775
1963,30.5265
1456,93.2165
1069,102.4328
871,100.3353
1330,7.8455
1387,76.4463
2106,100.5238
1077,18.845
1599,95.4931
2481,67.3247
1927,99.8481
1286,26.1293
2496,98.0886
164,48.2629
1430,96.8641
1804,96.9678
2389,10.5199
341,89.0542
845,109.3607
1109,74.6323
868,91.8659
2087,86.8101
1024,76.3075
1668,72.7987
2038,96.2745
2500,61.0231
104,102.453
1586,90.9465
2522,20.7239
1688,102.1348
1792,68.5505
943,96.5821
20,49.3622
1312,92.8445
1435,91.4443
869,13.3849
1383,70.0212
1359,112.6831
640,51.9679
2008,92.8168
1700,62.3169
1193,82.1081
882,1.0862
688,22.377
90,73.4841
612,51.6818
24,100.5485
1589,69.7972
2268,35.0838
2364,46.9278
2386,102.29
557,89.3538
589,55.3315
250,98.9068
1032,78.5677
2133,45.9578
66,95.5213
584,58.8365
102,97.5744
1316,95.8841
1270,65.3394
2396,25.0938
1520,68.642
673,100.4767
2278,98.1304
1861,83.0019
1355,100.0973
1896,85.2059
2316,23.2924
767,92.9248
899,74.1454
1771,95.2271
2332,86.3262
944,71.1285
2422,59.2975
1023,85.8251
809,103.8428
924,103.6896
2215,101.9923
623,74.93
323,9.6612
391,82.5833
2359,79.669
113,86.0016
52,31.5205
321,96.1862
1898,95.2147
402,106.3668
2398,90.8404
1661,53.1128
647,105.7691
1366,98.6024
124,58.825
1548,102.2509
2236,101.0337
1901,83.4533
639,88.5978
516,106.7094
1040,101.1013
974,100.0225
1908,107.4644
1308,95.4356
180,43.7678
1345,116.4895
2479,53.9588
2383,103.1074
1333,101.6503
2323,85.0308
1352,95.3793
1261,96.5682
2057,101.8147
1915,100.3413
1552,91.2493
1423,52.1189
1249,72.4211
1371,105.5259
1019,80.6648
2211,97.4876
1459,100.8434
423,80.655
1987,89.9679
1551,64.2586
2259,102.1484
2119,49.7603
915,88.5151
396,98.4971
288,100.0459
887,81.411
2363,89.1938
2401,56.3537
1443,11.0099
2371,21.2314
2433,54.0705
33,56.6387
1198,44.9904
1806,58.6925
1825,33.9398
458,107.3424
2356,105.4834
64,89.5937
649,94.1994
1484,77.3208
867,56.9649
