ID,Target
32,101.9415
376,102.7106
71,62.896
2232,77.3529
2018,106.9251
1971,67.081
1727,70.149
2220,80.6909
27,51.2627
622,100.9242
1065,94.5348
399,62.8334
2088,96.0402
2059,90.8202
1256,89.0326
441,55.5118
833,93.6775
428,33.4218
1875,22.747
1466,55.5136
2503,72.7451
1112,86.9921
1114,42.157
870,75.7848
2100,84.7919
666,52.7611
768,81.7844
1192,43.0597
280,77.3973
2453,86.7644
315,109.7653
417,71.7148
1165,93.0334
1841,77.8936
2532,6.9687
1052,116.9689
2373,90.3312
434,88.8611
921,80.0466
1734,6.9608
1189,23.0518
901,55.2569
2297,52.4595
301,17.7059
1719,106.0374
659,99.9153
1428,26.003
614,82.1439
2052,86.3671
39,9.6173
460,102.1273
2096,49.8719
1197,82.3693
525,89.7461
670,67.0086
1718,63.2807
14,99.035
75,78.1854
1107,96.4921
2357,90.1624
1796,68.981
1961,76.8085
424,24.2306
1534,83.2056
534,74.6841
54,96.7273
1500,92.8123
2031,93.6726
360,75.1293
2385,83.24
225,84.8411
2311,95.1854
1223,67.3266
416,83.2135
1523,90.9948
1390,68.3313
398,89.3587
1620,68.6663
1096,20.2838
1121,98.241
2160,54.7721
2438,38.685
1737,93.1748
1787,88.6347
81,96.2392
1282,100.6108
1939,93.4643
1856,81.9151
69,49.6676
1726,91.2604
1524,58.2165
846,71.6036
1156,97.8716
2281,102.8203
2535,40.503
1848,11.1442
1591,98.5303
2196,78.0351
1294,69.6978
1401,75.7356
2387,96.7475
682,95.2051
160,121.2812
1570,96.8038
849,93.3206
798,87.6888
443,98.1392
1138,46.4671
704,102.2814
1036,84.1008
2267,75.7509
499,26.8862
1360,104.7675
2016,97.1323
1881,27.1354
2032,2.9427
1084,96.4574
2485,22.2255
333,27.37
1433,48.5594
264,84.3977
1455,79.9222
2179,96.8504
2341,83.6463
1283,36.3626
2114,34.2464
1604,81.3223
1623,52.98
709,97.4996
958,3.9114
2256,91.2764
2362,98.6595
745,89.3056
2170,16.6061
303,102.961
1983,74.1337
532,47.858
1805,42.9104
43,95.9564
1074,23.6707
2483,44.0591
356,37.1711
975,105.5324
2369,105.0019
2166,107.8097
256,91.4516
1812,86.2769
2190,22.2982
1446,97.8224
2126,55.6604
253,99.1584
1391,83.9599
985,62.2442
2184,69.8724
2519,81.0629
1273,89.9706
2448,79.3343
2452,31.1581
2319,96.3247
764,96.4678
602,90.8181
1712,57.3684
1341,92.0868
1745,95.2319
2243,99.7993
1239,57.1629
1617,62.2917
1777,100.6183
1816,96.4652
2140,92.66
1716,118.3605
1368,98.6482
2158,90.0296
1658,98.3994
306,68.7566
747,86.1406
568,55.6611
1850,55.2736
455,68.1317
1580,84.8753
1356,69.5723
445,51.435
34,0.7904
1501,67.1667
500,81.2051
1894,93.0173
957,101.2981
209,104.7698
149,97.2445
1563,54.3257
1363,99.9944
88,49.5178
452,59.6899
876,102.4005
1697,105.6792
1347,21.0943
737,103.5881
346,99.9086
282,94.071
1684,36.7666
969,140.8365
1703,105.2493
475,106.061
2512,63.3829
260,95.8764
818,15.1865
1145,65.3757
1475,36.4723
2334,71.0192
273,93.5732
1973,99.6634
625,63.9301
1862,10.8025
67,9.2176
1807,97.3607
857,102.7048
2510,97.9725
643,94.1581
2061,76.3809
905,75.6831
699,100.2251
2202,36.7502
847,50.468
2229,94.5447
201,90.1554
1809,94.2795
955,12.2248
1740,111.4712
2526,92.7952
1384,75.7187
1566,98.7669
1934,85.7676
1561,77.7754
1595,84.7662
617,100.5497
677,12.8224
2421,96.8205
1167,44.6393
2161,92.1905
2298,97.625
2092,55.4736
1639,95.0202
1642,112.108
1457,98.2127
2304,104.7647
1844,95.7868
1924,100.539
1982,96.1974
3,47.8666
1346,47.1589
834,54.71
1860,103.959
1575,96.9582
37,66.9781
406,83.0142
1904,94.8343
328,73.3736
2204,96.2375
2501,98.8638
451,105.3804
2112,12.4925
2534,76.3267
2333,66.6732
420,56.4974
2137,51.7223
120,79.7983
2426,96.8895
1206,6.1202
1226,56.1835
679,96.3216
1179,11.454
1002,4.8041
1426,67.0699
1653,49.8916
1053,71.0638
683,107.8842
591,92.8956
