ID,Target
32,0
376,1
71,1
2232,0
2018,1
1971,0
1727,1
2220,1
27,0
622,0
1065,0
399,1
2088,1
2059,1
1256,1
441,0
833,1
428,1
1875,0
1466,1
2503,1
1112,1
1114,0
870,0
2100,1
666,1
768,1
1192,0
280,0
2453,0
315,1
417,0
1165,1
1841,1
2532,0
1052,1
2373,0
434,0
921,1
1734,0
1189,0
901,0
2297,1
301,1
1719,0
659,0
1428,0
614,0
2052,1
39,0
460,1
2096,1
1197,1
525,0
670,0
1718,0
14,1
75,1
1107,1
2357,0
1796,0
1961,0
424,0
1534,0
534,0
54,0
1500,0
2031,0
360,0
2385,1
225,0
2311,1
1223,1
416,1
1523,0
1390,1
398,1
1620,1
1096,0
1121,0
2160,0
2438,0
1737,1
1787,1
81,1
1282,1
1939,1
1856,0
69,1
1726,1
1524,1
846,0
1156,0
2281,1
2535,0
1848,0
1591,1
2196,0
1294,1
1401,1
2387,1
682,1
160,1
1570,0
849,1
798,1
443,1
1138,0
704,1
1036,1
2267,0
499,1
1360,1
2016,1
1881,0
2032,0
1084,0
2485,0
333,0
1433,0
264,0
1455,0
2179,0
2341,1
1283,1
2114,0
1604,1
1623,0
709,1
958,0
2256,0
2362,0
745,1
2170,1
303,0
1983,1
532,0
1805,0
43,0
1074,0
2483,1
356,0
975,1
2369,1
2166,1
256,1
1812,1
2190,1
1446,1
2126,0
253,1
1391,0
985,1
2184,1
2519,0
1273,1
2448,0
2452,0
2319,1
764,1
602,0
1712,0
1341,1
1745,0
2243,1
1239,1
1617,0
1777,1
1816,1
2140,1
1716,1
1368,1
2158,1
1658,1
306,1
747,0
568,0
1850,0
455,1
1580,1
1356,1
445,1
34,0
1501,0
500,1
1894,0
957,1
209,1
149,1
1563,1
1363,0
88,0
452,1
876,1
1697,1
1347,0
737,1
346,1
282,0
1684,1
969,1
1703,0
475,1
2512,1
260,0
818,0
1145,1
1475,0
2334,1
273,0
1973,0
625,1
1862,0
67,1
1807,1
857,0
2510,1
643,1
2061,0
905,0
699,1
2202,0
847,0
2229,0
201,0
1809,1
955,0
1740,1
2526,1
1384,1
1566,1
1934,1
1561,0
1595,1
617,0
677,1
2421,1
1167,1
2161,0
2298,1
2092,0
1639,0
1642,0
1457,1
2304,0
1844,0
1924,1
1982,1
3,0
1346,0
834,0
1860,1
1575,1
37,1
406,1
1904,1
328,0
2204,0
2501,1
451,1
2112,1
2534,0
2333,1
420,0
2137,0
120,0
2426,1
1206,1
1226,0
679,0
1179,0
1002,0
1426,0
1653,0
1053,0
683,1
591,0
686,1
2498,1
77,1
504,1
378,0
1744,0
1377,1
684,0
1159,0
1081,0
249,0
1071,1
1122,1
2342,1
478,1
825,1
1322,1
743,0
856,1
314,0
2026,1
2153,0
1350,0
2094,0
539,0
1413,1
802,1
1936,1
752,0
2198,0
1636,0
1773,0
1768,1
156,1
2291,0
28,0
1772,0
367,0
1091,0
1224,1
2212,0
717,1
1916,1
2021,1
1765,1
359,0
1325,0
784,1
2429,1
2219,1
2494,1
1808,0
2330,0
2477,0
2289,1
1461,1
652,1
1568,0
524,0
1317,0
629,0
1434,1
2296,1
829,0
2391,1
814,1
219,1
2379,0
2411,0
708,0
1361,1
1849,1
1393,1
2148,1
1828,0
2321,1
202,1
2300,1
739,1
1421,1
2407,0
228,1
582,0
2055,0
9,1
1418,1
1913,0
819,0
2506,0
2255,0
339,0
1101,0
1026,0
748,1
1436,1
733,0
112,1
1666,0
1742,0
477,1
357,0
2523,1
1578,1
543,0
2274,0
1663,0
2505,1
388,1
252,0
2175,0
2400,0
92,0
655,1
2419,0
2337,1
517,0
1928,1
1087,0
345,1
880,1
1089,0
2476,1
2225,0
1342,0
2164,1
2493,0
738,1
446,1
407,0
336,1
1821,0
1979,0
1912,0
2279,1
1105,0
436,0
1215,1
1201,1
990,0
2417,0
2082,0
1042,1
1106,1
2309,1
1681,1
1974,0
2118,0
