ID,Target
32,98.5
376,102.0
71,65.5
2232,76.5
2018,108.5
1971,104.0
1727,67.5
2220,67.0
27,63.25
622,104.5
1065,95.5
399,62.0
2088,94.0
2059,85.0
1256,94.0
441,54.0
833,89.5
428,33.5
1875,23.0
1466,52.75
2503,64.5
1112,87.5
1114,34.25
870,71.0
2100,96.0
666,42.0
768,84.5
1192,54.0
280,72.0
2453,97.0
315,108.5
417,101.0
1165,88.5
1841,83.5
2532,4.65625
1052,108.5
2373,108.5
434,88.0
921,81.5
1734,6.28125
1189,22.75
901,52.75
2297,61.0
301,7.84375
1719,108.5
659,108.5
1428,13.5
614,91.5
2052,81.0
39,75.0
460,102.5
2096,45.0
1197,96.0
525,82.0
670,63.0
1718,65.5
14,100.5
75,74.5
1107,99.0
2357,87.0
1796,75.0
1961,63.75
424,25.25
1534,73.5
534,86.5
54,96.5
1500,93.5
2031,88.5
360,73.0
2385,86.5
225,98.5
2311,107.0
1223,65.5
416,86.0
1523,93.0
1390,67.5
398,88.5
1620,89.5
1096,27.125
1121,99.5
2160,68.5
2438,46.0
1737,98.0
1787,95.0
81,100.5
1282,108.5
1939,103.0
1856,79.5
69,74.0
1726,99.5
1524,62.0
846,77.5
1156,103.0
2281,108.5
2535,25.625
1848,8.75
1591,101.5
2196,82.0
1294,71.5
1401,59.25
2387,92.5
682,97.5
160,108.5
1570,97.5
849,92.0
798,90.5
443,95.0
1138,41.0
704,101.0
1036,23.625
2267,107.5
499,17.5
1360,106.0
2016,97.0
1881,29.625
2032,3.765625
1084,96.0
2485,23.625
333,21.875
1433,106.0
264,85.0
1455,45.5
2179,104.0
2341,10.0
1283,14.75
2114,15.9375
1604,87.0
1623,66.5
709,95.5
958,4.25
2256,75.5
2362,97.5
745,93.5
2170,8.8125
303,106.5
1983,55.25
532,48.25
1805,33.75
43,95.0
1074,25.5
2483,53.75
356,29.625
975,103.0
2369,101.0
2166,108.5
256,94.5
1812,98.5
2190,53.25
1446,97.0
2126,43.25
253,99.5
1391,94.0
985,65.0
2184,68.0
2519,86.5
1273,91.5
2448,76.5
2452,12.3125
2319,96.0
764,102.5
602,91.5
1712,62.25
1341,78.0
1745,93.0
2243,106.0
1239,86.0
1617,66.0
1777,100.0
1816,98.0
2140,94.0
1716,108.5
1368,99.5
2158,94.5
1658,101.5
306,69.0
747,82.0
568,24.875
1850,78.5
455,89.5
1580,95.5
1356,67.5
445,50.25
34,1.875
1501,95.0
500,82.0
1894,95.5
957,101.0
209,104.5
149,98.0
1563,64.0
1363,95.0
88,48.75
452,74.5
876,101.0
1697,108.5
1347,8.0625
737,108.5
346,101.0
282,99.5
1684,59.25
969,108.5
1703,108.5
475,108.5
2512,62.5
260,92.5
818,15.4375
1145,63.0
1475,27.125
2334,66.5
273,94.5
1973,98.0
625,62.25
1862,7.15625
67,1.3046875
1807,95.5
857,108.5
2510,103.0
643,96.0
2061,73.5
905,89.0
699,104.0
2202,54.0
847,58.25
2229,84.0
201,90.0
1809,102.5
955,6.34375
1740,108.5
2526,83.5
1384,83.0
1566,101.0
1934,97.0
1561,74.0
1595,87.5
617,108.5
677,16.625
2421,97.5
1167,56.25
2161,92.0
2298,95.0
2092,64.5
1639,94.0
1642,101.0
1457,97.0
2304,108.5
1844,99.0
1924,108.5
1982,94.5
3,45.25
1346,52.0
834,46.0
1860,102.0
1575,98.0
37,49.25
406,85.0
1904,94.5
328,49.0
2204,104.0
2501,99.0
451,108.5
2112,1.9921875
2534,85.5
2333,53.75
420,70.0
2137,50.75
120,96.5
2426,101.0
1206,1.34375
1226,52.5
679,94.0
1179,8.375
1002,5.46875
1426,60.75
1653,40.5
1053,47.25
683,108.5
591,89.5
686,39.75
2498,72.5
77,57.25
504,108.5
378,64.5
1744,3.359375
1377,103.0
684,82.0
1159,64.5
1081,91.5
249,8.0
1071,99.5
1122,89.0
2342,102.5
478,97.5
825,90.5
1322,55.0
743,48.75
856,100.0
314,5.46875
2026,94.5
2153,93.0
1350,87.0
2094,18.875
539,89.5
1413,88.0
802,74.0
1936,108.5
752,72.5
2198,44.75
1636,38.75
1773,4.96875
1768,97.5
156,92.0
2291,92.0
28,13.375
1772,35.5
367,98.0
1091,3.859375
1224,98.5
2212,73.0
717,98.0
1916,98.5
2021,103.5
1765,96.0
359,78.0
1325,58.5
784,95.0
2429,108.5
2219,77.0
2494,96.0
1808,51.0
2330,84.5
2477,100.0
2289,61.0
1461,55.5
652,97.0
1568,98.5
524,6.4375
1317,19.0
629,94.0
1434,101.5
2296,58.25
829,58.75
2391,28.375
814,108.5
219,91.0
2379,97.5
2411,108.5
708,76.5
1361,96.0
1849,95.0
1393,100.0
2148,79.0
1828,39.75
2321,95.0
202,100.5
2300,93.0
739,68.5
1421,93.5
2407,72.0
228,94.5
582,97.5
2055,90.5
9,93.0
1418,101.0
1913,108.5
819,81.5
2506,51.25
2255,46.0
339,6.15625
1101,50.5
1026,94.0
748,102.5
1436,96.5
733,100.0
112,88.5
1666,58.25
1742,81.5
477,16.875
357,20.125
2523,97.5
1578,82.5
543,86.5
2274,78.0
1663,63.75
2505,49.0
388,102.0
252,95.0
2175,43.0
2400,54.5
92,86.5
655,103.0
2419,98.5
2337,46.5
517,39.5
1928,70.0
1087,42.0
345,101.5
880,86.5
1089,46.75
2476,92.5
2225,84.0
1342,21.5
2164,24.875
2493,91.0
738,88.0
446,55.0
407,100.0
336,61.75
1821,4.96875
1979,85.0
1912,91.5
2279,103.0
1105,5.84375
436,48.0
1215,93.5
1201,86.0
990,108.5
2417,8.0625
