ID,Target
32,90.869
376,96.146
71,71.827
2232,78.733
2018,104.32
1971,92.562
1727,57.011
2220,79.014
27,48.235
622,100.3
1065,103.61
399,63.027
2088,95.27
2059,93.399
1256,85.385
441,58.161
833,87.158
428,34.878
1875,25.463
1466,53.395
2503,63.298
1112,79.316
1114,46.88
870,83.9
2100,76.224
666,93.131
768,95.604
1192,53.395
280,86.919
2453,70.659
315,116.02
417,95.238
1165,93.399
1841,95.726
2532,17.729
1052,132.0
2373,99.13
434,99.757
921,76.068
1734,20.218
1189,10.016
901,54.713
2297,38.53
301,12.086
1719,101.27
659,128.05
1428,33.966
614,97.028
2052,84.431
39,10.405
460,108.02
2096,47.814
1197,106.28
525,88.328
670,66.287
1718,74.878
14,108.44
75,60.908
1107,96.583
2357,93.8
1796,77.508
1961,83.333
424,21.505
1534,89.984
534,74.951
54,94.089
1500,97.461
2031,74.169
360,74.151
2385,87.873
225,95.238
2311,106.89
1223,70.471
416,84.431
1523,83.653
1390,78.775
398,88.145
1620,82.838
1096,19.844
1121,98.622
2160,69.0
2438,57.4
1737,73.74
1787,100.0
81,93.767
1282,95.74
1939,94.894
1856,78.89
69,80.162
1726,73.74
1524,58.151
846,76.377
1156,99.073
2281,96.111
2535,61.417
1848,7.3836
1591,96.296
2196,56.477
1294,71.827
1401,62.4
2387,98.355
682,92.742
160,117.96
1570,72.989
849,90.551
798,98.355
443,92.787
1138,53.395
704,103.78
1036,30.343
2267,94.215
499,14.191
1360,106.94
2016,96.066
1881,27.8
2032,3.7931
1084,95.604
2485,27.8
333,42.683
1433,152.69
264,97.938
1455,45.88
2179,109.73
2341,73.214
1283,0.0
2114,48.087
1604,83.445
1623,72.134
709,95.738
958,9.1379
2256,80.137
2362,100.0
745,98.288
2170,0.0
303,83.948
1983,76.064
532,42.299
1805,45.062
43,97.742
1074,37.61
2483,59.335
356,50.129
975,116.04
2369,108.99
2166,109.26
256,88.525
1812,38.249
2190,48.087
1446,92.787
2126,54.71
253,94.554
1391,74.951
985,61.042
2184,77.52
2519,82.087
1273,94.719
2448,79.795
2452,21.236
2319,98.738
764,96.066
602,74.951
1712,59.607
1341,89.251
1745,96.385
2243,102.33
1239,80.162
1617,58.048
1777,103.76
1816,97.742
2140,96.9
1716,103.32
1368,100.5
2158,90.551
1658,99.925
306,66.523
747,81.707
568,77.249
1850,79.9
455,83.045
1580,101.82
1356,65.242
445,78.383
34,1.1673
1501,72.453
500,93.64
1894,102.99
957,103.76
209,102.42
149,96.346
1563,56.114
1363,82.262
88,59.809
452,76.892
876,103.76
1697,109.26
1347,48.087
737,113.15
346,95.8
282,101.43
1684,99.0
969,142.93
1703,106.84
475,109.26
