ID,Target
32,92.0
376,96.0
71,84.5
2232,92.0
2018,95.0
1971,93.5
1727,77.5
2220,85.5
27,56.5
622,92.0
1065,26.25
399,65.5
2088,94.0
2059,93.0
1256,86.5
441,64.0
833,92.0
428,33.25
1875,22.25
1466,62.75
2503,72.0
1112,92.0
1114,51.0
870,85.0
2100,90.5
666,45.75
768,93.5
1192,57.5
280,63.25
2453,90.0
315,95.5
417,87.5
1165,95.0
1841,53.5
2532,1.15625
1052,96.0
2373,95.0
434,79.5
921,67.5
1734,2.703125
1189,18.625
901,50.25
2297,65.0
301,6.84375
1719,95.5
659,94.5
1428,19.25
614,91.0
2052,92.0
39,18.0
460,96.0
2096,51.0
1197,83.5
525,94.0
670,86.0
1718,63.75
14,96.0
75,85.0
1107,93.5
2357,91.5
1796,74.0
1961,83.5
424,23.875
1534,81.5
534,83.5
54,96.0
1500,94.5
2031,93.5
360,77.5
2385,93.0
225,86.0
2311,94.5
1223,73.5
416,86.0
1523,90.5
1390,58.25
398,91.5
1620,85.5
1096,29.5
1121,96.0
2160,72.5
2438,36.5
1737,94.0
1787,88.5
81,94.5
1282,96.0
1939,93.5
1856,90.0
69,38.5
1726,95.5
1524,56.75
846,83.0
1156,95.5
2281,96.0
2535,16.625
1848,8.75
1591,93.5
2196,84.0
1294,88.0
1401,67.0
2387,94.0
682,95.5
160,96.0
1570,77.5
849,95.5
798,95.0
443,94.5
1138,55.25
704,95.5
1036,83.0
2267,94.0
499,22.625
1360,96.0
2016,94.5
1881,19.5
2032,2.046875
1084,90.5
2485,13.375
333,43.5
1433,93.0
264,90.5
1455,69.0
2179,93.0
2341,71.5
1283,19.0
2114,24.25
1604,94.0
1623,49.25
709,94.5
958,3.46875
2256,95.5
2362,94.5
745,93.0
2170,4.75
303,95.5
1983,63.75
532,50.25
1805,38.5
43,94.5
1074,18.375
2483,79.0
356,33.25
975,94.0
2369,96.0
2166,96.0
256,94.0
1812,95.0
2190,18.375
1446,94.5
2126,38.25
253,95.5
1391,86.0
985,62.5
2184,54.25
2519,95.0
1273,92.0
2448,88.0
2452,21.25
2319,95.5
764,94.5
602,87.0
1712,66.5
1341,87.0
1745,93.5
2243,94.5
1239,63.75
1617,69.0
1777,96.0
1816,95.0
2140,93.0
1716,96.0
1368,95.5
2158,95.5
1658,95.5
306,66.0
747,86.5
568,38.75
1850,81.5
455,86.0
1580,90.0
1356,71.5
445,41.0
34,-1.5703125
1501,95.0
500,91.0
1894,89.0
957,96.0
209,95.0
149,96.0
1563,76.5
1363,93.0
88,53.25
452,82.0
876,96.0
1697,96.0
1347,14.375
737,96.0
346,95.5
282,90.5
1684,92.0
969,96.0
1703,86.5
475,96.0
2512,69.0
260,92.5
818,23.125
1145,72.5
1475,35.5
2334,85.5
273,92.5
1973,92.0
625,76.0
1862,2.71875
67,-2.671875
1807,94.5
857,85.5
2510,95.5
643,93.5
2061,91.5
905,80.0
699,96.0
2202,73.5
847,39.25
2229,87.5
201,94.5
1809,88.0
955,54.25
1740,96.0
2526,95.0
1384,72.5
1566,96.0
1934,93.0
1561,92.5
1595,74.5
617,83.5
677,2.171875
2421,94.5
1167,66.0
2161,88.0
2298,94.5
2092,60.0
1639,67.5
1642,96.0
1457,95.0
2304,88.0
1844,74.5
1924,96.0
1982,95.5
3,55.25
1346,92.5
834,40.5
1860,96.0
1575,96.0
37,72.5
406,88.5
1904,94.0
328,87.0
2204,86.5
2501,94.5
451,96.0
2112,-1.515625
2534,89.5
2333,67.5
420,92.5
2137,50.25
120,87.0
2426,93.0
1206,-2.015625
1226,61.0
679,94.5
1179,43.0
1002,2.5
1426,64.5
1653,54.5
1053,85.0
683,96.0
591,95.5
686,67.0
2498,80.5
77,58.0
504,96.0
378,66.0
1744,1.953125
1377,96.0
684,94.5
1159,73.5
1081,88.0
249,2.046875
1071,96.0
1122,91.5
2342,96.0
478,95.5
825,90.5
1322,66.5
743,87.0
856,94.5
314,51.75
2026,94.5
2153,93.0
1350,88.5
2094,14.75
539,95.0
1413,77.0
802,87.5
1936,96.0
752,73.5
2198,37.0
1636,31.625
1773,1.9453125
1768,96.0
156,92.0
2291,93.5
28,14.8125
1772,53.75
367,92.0
1091,2.59375
1224,95.5
2212,90.5
717,96.0
1916,55.5
2021,95.5
1765,94.5
359,86.5
1325,31.625
784,94.5
2429,96.0
2219,82.0
2494,95.0
1808,78.0
2330,90.0
2477,68.0
2289,94.0
1461,80.0
652,95.0
1568,95.5
524,5.71875
1317,19.125
629,90.5
1434,96.0
2296,62.25
829,66.5
2391,30.125
814,96.0
219,90.0
2379,95.5
2411,96.0
708,92.0
1361,94.5
1849,95.0
1393,87.5
2148,95.5
1828,51.5
2321,90.5
202,94.5
2300,94.0
739,87.5
1421,91.5
2407,57.0
228,89.0
582,90.0
2055,84.0
9,90.5
1418,95.5
1913,94.5
819,87.5
2506,34.0
2255,84.5
339,2.1875
1101,64.0
1026,86.5
748,96.0
1436,94.0
733,95.5
112,80.0
1666,63.25
1742,69.0
477,86.0
357,51.25
2523,93.5
1578,87.0
543,82.5
2274,84.5
1663,69.5
2505,49.25
388,94.5
252,95.0
2175,45.75
2400,55.75
92,95.0
655,95.0
2419,83.0
2337,34.5
517,65.5
1928,90.5
1087,49.5
345,95.0
880,94.0
1089,69.0
2476,95.0
2225,59.75
1342,24.75
2164,31.875
2493,94.5
738,92.5
446,41.5
407,95.5
336,66.5
1821,1.2421875
1979,90.5
1912,92.5
2279,96.0
1105,11.3125
436,52.25
1215,87.5
1201,93.5
990,92.0
2417,18.875
2082,92.0
1042,31.625
1106,96.0
2309,85.0
1681,82.5
1974,69.0
2118,82.5
1766,91.0
2104,13.75
2295,52.25
563,96.0
864,78.5
1788,87.0
600,16.75
2015,94.5
1276,96.0
2017,0.9921875
1376,95.0
1012,91.0
2171,95.5
1470,74.0
1075,93.5
427,85.5
1911,90.5
254,90.5
279,95.0
994,95.5
1986,92.0
194,94.0
1654,11.375
2322,96.0
2209,95.5
2287,74.5
2511,65.5
1976,8.8125
1007,80.5
866,56.0
1176,95.5
2425,73.0
727,94.5
927,94.5
1530,96.0
2222,96.0
327,92.0
2068,94.0
2495,93.0
756,93.5
493,61.0
2127,95.0
1018,95.5
351,83.5
95,69.5
73,85.0
1264,96.0
991,5.9375
86,96.0
790,94.0
2338,93.5
741,91.0
2406,87.0
1978,96.0
2185,60.0
491,95.5
497,95.0
2138,86.0
5,92.0
2315,15.0
45,11.125
203,58.25
1028,93.5
705,56.25
564,95.0
474,96.0
1194,91.5
129,84.5
800,85.5
1353,92.0
730,96.0
1822,19.75
1886,17.875
289,39.5
1373,90.0
2224,75.0
2271,85.5
1776,92.0
806,84.5
553,49.5
2430,94.5
837,11.4375
1984,92.5
858,66.5
501,95.5
2011,5.75
237,72.5
2081,85.5
1922,95.0
1419,87.0
1014,45.5
1340,67.5
482,84.5
783,3.359375
1918,93.0
235,94.5
276,17.75
1970,95.5
1088,55.5
1829,17.375
2410,87.0
1431,68.5
884,77.0
2402,95.5
1338,88.0
1281,88.5
960,93.0
1859,37.5
2174,9.8125
2399,41.25
1958,60.5
18,92.0
1180,96.0
97,90.5
1905,93.5
174,96.0
2249,74.5
450,38.5
1784,88.5
1465,93.5
2415,78.5
317,94.0
2152,96.0
1665,95.0
412,90.5
723,60.25
168,91.0
2090,61.75
2188,95.5
2310,94.0
1094,91.5
1632,96.0
1054,86.5
187,83.0
1611,89.0
35,95.5
62,95.5
1323,95.5
667,95.5
1307,94.5
2434,80.5
2305,96.0
226,80.5
1515,55.75
84,72.0
973,96.0
2266,10.9375
1741,69.0
57,91.0
1969,25.0
2482,92.5
1562,96.0
349,95.0
1494,83.5
2145,62.75
128,95.5
1547,11.125
1567,56.5
2353,67.0
1705,95.5
521,94.0
79,91.0
1441,95.0
2036,96.0
1564,89.0
1779,4.71875
272,95.0
1660,62.75
1429,92.5
94,95.5
2468,95.5
386,19.875
1267,95.0
74,82.5
507,94.0
621,95.0
48,96.0
610,4.96875
1702,80.0
1400,95.0
1634,45.0
171,38.0
1460,63.5
1309,94.5
1592,95.0
1836,94.5
1750,3.953125
636,20.25
1692,76.5
598,-0.3828125
1351,32.5
1058,59.0
1344,36.0
1202,94.0
2074,92.0
1963,22.25
1456,92.0
1069,95.5
871,96.0
1330,4.84375
1387,89.5
2106,95.0
1077,12.1875
1599,93.5
2481,87.5
1927,86.5
1286,28.125
2496,94.0
164,45.25
1430,95.5
1804,87.0
2389,44.25
341,92.0
845,96.0
1109,85.0
868,90.5
2087,90.5
1024,88.0
1668,86.5
2038,94.5
2500,70.0
104,96.0
1586,93.5
2522,0.45507812
1688,96.0
1792,58.5
943,93.0
20,51.0
1312,93.0
1435,94.0
869,-1.8125
1383,85.5
1359,94.5
640,49.0
2008,95.5
1700,66.0
1193,89.5
882,1.171875
688,7.875
90,84.5
612,44.5
24,95.5
1589,78.0
2268,22.5
2364,52.75
2386,95.5
557,91.0
589,85.5
250,94.5
1032,82.5
2133,54.25
66,92.5
584,67.5
102,96.0
1316,95.0
1270,47.5
2396,28.5
1520,85.5
673,92.0
2278,95.5
1861,77.5
1355,96.0
1896,82.5
2316,29.875
767,85.0
899,88.0
1771,92.0
2332,93.0
944,76.5
2422,66.0
1023,86.5
809,93.5
924,96.0
2215,96.0
623,71.5
323,5.0625
391,72.5
2359,84.5
113,89.0
52,31.25
321,95.0
1898,91.5
402,94.0
2398,95.0
1661,79.5
647,94.5
1366,93.5
124,93.0
1548,96.0
2236,96.0
1901,94.5
639,95.5
516,95.0
1040,96.0
974,95.5
1908,96.0
1308,94.5
180,47.75
1345,94.0
2479,47.25
2383,96.0
1333,95.5
2323,95.0
1352,96.0
1261,94.0
2057,89.5
1915,95.0
1552,93.0
1423,52.25
1249,72.5
1371,96.0
1019,87.0
2211,95.0
1459,95.5
423,89.5
1987,92.0
1551,65.0
2259,96.0
2119,65.5
915,91.5
396,87.0
288,95.5
887,72.5
2363,85.5
2401,50.5
1443,18.25
2371,4.8125
2433,49.0
33,78.5
1198,45.25
1806,88.0
1825,35.5
458,96.0
2356,93.0
64,94.0
649,95.5
1484,91.0
867,47.25
