ID,Target
32,101.5068
376,100.8263
71,77.9599
2232,78.4042
2018,99.6078
1971,76.3099
1727,78.5856
2220,83.3307
27,53.9703
622,85.5421
1065,78.582
399,58.9039
2088,84.8855
2059,88.4117
1256,82.9519
441,51.6589
833,92.5449
428,47.8898
1875,20.4256
1466,36.7305
2503,68.184
1112,72.6119
1114,38.8234
870,79.0264
2100,78.7348
666,73.1993
768,92.6629
1192,31.2766
280,64.7228
2453,83.5572
315,104.7255
417,69.186
1165,91.3476
1841,74.5505
2532,11.6542
1052,103.4429
2373,96.5317
434,70.6305
921,79.3854
1734,19.3697
1189,47.5577
901,46.4113
2297,36.2308
301,40.4095
1719,100.4587
659,76.9965
1428,23.7668
614,85.7842
2052,80.1433
39,21.4581
460,101.842
2096,63.9314
1197,88.0338
525,82.1349
670,69.8806
1718,68.2536
14,97.9436
75,83.0649
1107,82.5017
2357,87.3129
1796,72.4102
1961,80.594
424,14.2175
1534,66.035
534,67.4577
54,96.8611
1500,85.6899
2031,82.9115
360,77.9669
2385,93.1529
225,74.6399
2311,86.6306
1223,59.1354
416,78.796
1523,94.9148
1390,82.994
398,87.289
1620,78.2469
1096,70.9065
1121,87.7567
2160,75.1859
2438,68.8076
1737,87.7703
1787,80.7916
81,104.6008
1282,105.1637
1939,77.5137
1856,75.514
69,73.0312
1726,85.8089
1524,50.2713
846,66.9712
1156,87.028
2281,104.1333
2535,66.3405
1848,40.056
1591,91.8449
2196,79.5746
1294,84.2102
1401,66.1718
2387,81.0288
682,92.2192
160,118.4656
1570,84.1565
849,85.5454
798,85.6734
443,98.95
1138,36.988
704,101.3335
1036,73.5444
2267,95.8723
499,54.6099
1360,104.4428
2016,96.0373
1881,32.6882
2032,0.2267
1084,86.8451
2485,42.7739
333,49.206
1433,83.782
264,76.1097
1455,65.7788
2179,73.1248
2341,77.1092
1283,58.0391
2114,39.339
1604,93.2644
1623,60.2179
709,99.7626
958,0.55
2256,61.5596
2362,96.6384
745,97.1846
2170,49.1423
303,90.4012
1983,68.2151
532,46.1523
1805,43.6536
43,85.4074
1074,68.3637
2483,80.1192
356,55.8636
975,98.5521
2369,100.2351
2166,104.5591
256,89.9036
1812,74.4784
2190,38.1986
1446,98.95
2126,50.3855
253,100.9379
1391,68.5019
985,55.2818
2184,61.1246
2519,88.6865
1273,72.0632
2448,74.2088
2452,36.1886
2319,88.8979
764,82.4056
602,70.9914
1712,56.4568
1341,89.2887
1745,81.0224
2243,103.4127
1239,80.8544
1617,66.1639
1777,100.618
1816,92.4311
2140,96.1506
1716,112.0383
1368,97.4942
2158,84.773
1658,93.9236
306,71.6743
747,80.9527
568,69.4395
1850,85.2915
455,84.2729
1580,82.2503
1356,65.185
445,66.5731
34,58.0161
1501,73.6964
500,80.5501
1894,83.8164
957,94.4666
209,95.3905
149,98.2634
1563,69.1909
1363,76.0275
88,52.9562
452,70.5393
876,94.6566
1697,104.5591
1347,27.8874
737,100.1435
346,101.5235
282,102.7202
1684,67.6992
969,117.3503
1703,98.7557
475,104.5969
2512,69.6858
260,93.7733
818,30.3001
1145,48.6649
1475,41.4034
2334,82.0475
273,78.9491
1973,81.6181
625,70.3445
1862,11.9459
67,24.8628
1807,89.2243
857,87.9133
2510,94.4311
643,78.1161
2061,78.2943
905,53.2042
699,98.8962
2202,44.226
847,45.7374
2229,83.0226
201,80.1944
1809,98.6722
955,54.2324
1740,101.8711
2526,80.4559
1384,71.5824
1566,96.4875
1934,90.4055
1561,84.7245
1595,80.731
617,83.7304
677,41.2746
2421,96.6934
1167,59.595
2161,72.527
2298,102.093
2092,74.5057
1639,81.2831
1642,79.879
1457,109.3412
2304,94.9452
1844,84.4535
1924,104.4304
1982,88.4349
3,59.63
1346,74.3013
834,68.1403
1860,95.3721
1575,95.0615
37,73.0422
406,77.6022
1904,84.0973
328,82.1425
2204,87.1371
2501,93.49
451,100.8768
2112,25.1965
2534,71.0173
2333,52.9568
420,76.8712
2137,50.2814
120,92.076
2426,90.0941
1206,23.6167
1226,42.6061
679,89.2039
1179,50.5885
1002,13.0537
1426,87.1199
1653,54.1204
1053,49.8071
683,105.3302
591,98.3495
686,80.0451
2498,65.8123
77,68.7071
504,101.8711
378,66.3945
1744,17.9124
1377,95.7051
684,91.2749
1159,74.056
1081,79.6657
249,14.5717
1071,98.4839
1122,81.8798
2342,101.366
478,102.6473
825,75.9284
1322,59.595
743,92.1692
856,91.6577
314,45.5756
2026,98.95
2153,73.2888
1350,64.4824
2094,42.9414
539,80.4859
1413,81.1418
802,79.6292
1936,103.8258
752,64.3836
2198,59.8162
1636,45.8184
1773,11.1194
1768,97.9259
156,90.8269
2291,85.9585
28,69.5325
1772,47.7495
367,78.6161
1091,2.1609
1224,100.5087
2212,68.7879
717,95.0615
1916,79.1671
2021,79.9852
1765,98.95
359,58.0668
1325,73.4119
784,93.7807
2429,105.449
2219,70.7987
2494,97.4452
1808,73.2728
2330,83.2675
2477,89.4926
2289,91.3411
1461,68.9607
652,90.1053
1568,88.3135
524,44.6808
1317,59.3724
629,77.5184
1434,101.1265
2296,74.9753
829,52.9753
2391,77.0326
814,84.5505
