ID,Target
32,1
376,1
71,0
2232,0
2018,1
1971,0
1727,0
2220,1
27,0
622,0
1065,0
399,0
2088,1
2059,1
1256,1
441,0
833,0
428,0
1875,0
1466,0
2503,0
1112,1
1114,0
870,0
2100,0
666,1
768,0
1192,0
280,0
2453,0
315,1
417,0
1165,1
1841,1
2532,0
1052,0
2373,0
434,0
921,1
1734,0
1189,0
901,0
2297,0
301,0
1719,0
659,0
1428,0
614,0
2052,0
39,0
460,1
2096,0
1197,1
525,0
670,0
1718,0
14,1
75,0
1107,0
2357,0
1796,0
1961,1
424,0
1534,1
534,0
54,1
1500,0
2031,0
360,0
2385,0
225,0
2311,1
1223,0
416,0
1523,0
1390,0
398,0
1620,1
1096,0
1121,0
2160,0
2438,0
1737,1
1787,1
81,1
1282,1
1939,0
1856,0
69,1
1726,1
1524,0
846,0
1156,1
2281,1
2535,0
1848,0
1591,0
2196,0
1294,0
1401,0
2387,0
682,0
160,1
1570,0
849,1
798,1
443,0
1138,0
704,1
1036,0
2267,1
499,1
1360,1
2016,1
1881,0
2032,0
1084,0
2485,0
333,0
1433,0
264,0
1455,1
2179,0
2341,1
1283,1
2114,0
1604,0
1623,0
709,1
958,0
2256,0
2362,1
745,1
2170,1
303,0
1983,0
532,0
1805,0
43,0
1074,0
2483,1
356,0
975,1
2369,1
2166,1
256,1
1812,1
2190,0
1446,0
2126,0
253,1
1391,0
985,0
2184,0
2519,0
1273,1
2448,0
2452,0
2319,0
764,1
602,0
1712,0
1341,0
1745,0
2243,1
1239,1
1617,0
1777,1
1816,1
2140,1
1716,1
1368,1
2158,1
1658,1
306,0
747,0
568,0
1850,0
455,0
1580,0
1356,0
445,0
34,0
1501,0
500,0
1894,1
957,0
209,0
149,1
1563,0
1363,0
88,0
452,0
876,0
1697,1
1347,0
737,1
346,1
282,0
1684,0
969,1
1703,0
475,1
2512,0
260,0
818,0
1145,0
1475,0
2334,0
273,0
1973,0
625,0
1862,0
67,0
1807,1
857,0
2510,0
643,1
2061,0
905,0
699,1
2202,0
847,0
2229,0
201,0
1809,0
955,0
1740,0
2526,1
1384,0
1566,0
1934,0
1561,0
1595,0
617,0
677,0
2421,0
1167,0
2161,0
2298,1
2092,0
1639,0
1642,0
1457,1
2304,0
1844,0
1924,1
1982,1
3,0
1346,0
834,0
1860,0
1575,1
37,1
406,1
1904,1
328,0
2204,0
2501,0
451,1
2112,0
2534,0
2333,0
420,0
2137,0
120,0
2426,0
1206,0
1226,0
679,0
1179,0
1002,0
1426,0
1653,0
1053,0
683,0
591,0
686,1
2498,1
77,0
504,0
378,0
1744,0
1377,0
684,0
1159,0
1081,1
249,0
1071,1
1122,1
2342,1
478,1
825,1
1322,0
743,0
856,0
314,0
2026,1
2153,0
1350,0
2094,0
539,0
1413,0
802,0
1936,1
752,1
2198,0
1636,0
1773,0
1768,1
156,0
2291,0
28,0
1772,0
367,1
1091,0
1224,1
2212,1
717,1
1916,0
2021,0
1765,0
359,0
1325,1
784,0
2429,1
2219,0
2494,1
1808,0
2330,0
2477,0
2289,0
1461,0
652,1
1568,1
524,0
1317,0
629,0
1434,1
2296,0
829,0
2391,0
814,0
219,0
2379,0
2411,0
708,0
1361,1
1849,0
1393,0
2148,1
1828,0
2321,1
202,0
2300,0
739,0
1421,1
2407,0
228,1
582,1
2055,0
9,1
1418,0
1913,0
819,0
2506,0
2255,0
339,0
1101,0
1026,0
748,1
1436,0
733,0
112,0
1666,0
1742,0
477,0
357,1
2523,0
1578,0
543,0
2274,1
1663,0
2505,0
388,1
252,0
2175,0
2400,0
92,0
655,0
2419,0
2337,1
517,0
1928,1
1087,0
345,1
880,0
1089,0
2476,1
2225,0
1342,0
2164,1
2493,0
738,0
446,1
407,1
336,0
1821,0
1979,0
1912,0
2279,1
1105,1
436,0
1215,1
1201,0
990,0
2417,0
2082,0
1042,1
1106,1
2309,0
1681,0
1974,0
2118,0
1766,0
2104,0
2295,0
563,1
864,0
1788,0
600,1
2015,0
1276,1
2017,0
1376,1
1012,0
2171,1
1470,0
1075,0
427,0
1911,0
254,0
279,0
994,0
1986,0
194,0
1654,1
2322,0
2209,1
2287,0
2511,0
1976,0
1007,0
866,0
1176,1
2425,0
727,0
927,0
1530,0
2222,1
327,0
2068,0
2495,0
756,0
493,0
2127,1
1018,0
351,0
95,0
73,0
1264,1
991,0
86,1
790,1
2338,0
741,0
2406,0
1978,1
2185,0
491,0
497,0
2138,0
5,1
2315,0
45,0
203,0
1028,1
705,0
564,0
474,1
1194,0
129,0
800,0
1353,0
730,1
1822,0
1886,0
289,0
1373,1
2224,0
2271,0
1776,0
806,0
553,0
2430,0
837,0
1984,0
858,0
501,0
2011,0
237,1
2081,0
1922,0
1419,1
1014,0
1340,0
482,0
783,0
1918,0
235,1
276,0
1970,0
1088,0
1829,0
2410,0
1431,0
884,0
2402,1
1338,1
1281,0
960,0
1859,0
2174,0
2399,0
1958,0
18,0
1180,0
97,0
1905,0
174,1
2249,0
450,0
1784,0
1465,0
2415,0
317,1
2152,0
1665,1
412,0
723,0
168,1
2090,0
2188,1
2310,0
1094,0
1632,1
1054,0
187,0
1611,0
35,0
62,0
1323,0
667,0
1307,0
2434,0
2305,1
226,1
1515,0
84,0
973,1
2266,0
1741,0
57,1
1969,0
2482,1
1562,1
349,1
1494,0
2145,0
128,1
1547,0
1567,0
2353,0
1705,0
521,0
79,0
1441,0
2036,1
1564,0
1779,0
272,0
1660,0
1429,0
94,0
2468,0
386,1
1267,1
74,0
507,0
621,0
48,0
610,0
1702,0
1400,0
1634,0
171,0
1460,0
1309,1
1592,1
1836,0
1750,0
636,0
1692,0
598,0
1351,0
1058,0
1344,0
1202,0
2074,1
1963,0
1456,0
1069,1
871,1
1330,0
1387,0
2106,0
1077,0
1599,1
2481,0
1927,0
1286,0
2496,0
164,0
1430,1
1804,1
2389,0
341,1
845,1
1109,0
868,0
2087,0
1024,0
1668,1
2038,1
2500,0
104,1
1586,0
2522,0
1688,1
1792,0
943,1
20,0
1312,0
1435,1
869,0
1383,0
1359,0
640,0
2008,1
1700,0
1193,0
882,0
688,0
90,0
612,0
24,1
1589,0
2268,0
2364,0
2386,1
557,1
589,0
250,1
1032,0
2133,0
66,1
584,0
102,1
1316,0
1270,1
2396,0
1520,0
673,0
2278,0
1861,0
1355,1
1896,0
2316,0
767,0
899,0
1771,1
2332,0
944,0
2422,0
1023,0
809,0
924,1
2215,0
623,1
323,0
391,0
2359,0
113,0
52,0
321,1
1898,0
402,0
2398,0
1661,0
647,0
1366,1
124,0
1548,0
2236,0
1901,0
639,1
516,1
1040,1
974,1
