ID,Target
32,97.0764
376,101.0203
71,79.2896
2232,77.3524
2018,104.2029
1971,92.2412
1727,74.0503
2220,78.3451
27,62.7546
622,98.4391
1065,92.97
399,62.4495
2088,86.8238
2059,88.0214
1256,84.508
441,56.4839
833,92.2231
428,34.4786
1875,26.6016
1466,47.4995
2503,69.8419
1112,84.5577
1114,46.6379
870,75.6542
2100,78.4546
666,55.999
768,83.3692
1192,46.1039
280,74.3784
2453,84.4607
315,112.0962
417,82.0659
1165,89.8869
1841,81.0108
2532,13.8137
1052,125.6844
2373,88.1728
434,85.1127
921,78.3953
1734,15.6339
1189,26.7069
901,54.4508
2297,38.6833
301,19.855
1719,102.9528
659,106.2125
1428,23.1679
614,76.8306
2052,82.1546
39,11.5529
460,101.5579
2096,56.7185
1197,85.4746
525,88.0217
670,69.0338
1718,68.3328
14,100.6731
75,70.5287
1107,91.4711
2357,87.6546
1796,75.2719
1961,72.1566
424,22.6899
1534,75.1354
534,73.6707
54,95.4261
1500,92.8158
2031,87.1425
360,76.6768
2385,85.693
225,88.7348
2311,99.7759
1223,66.3986
416,83.0092
1523,90.0548
1390,75.9866
398,87.4783
1620,84.1218
1096,20.4899
1121,97.5356
2160,56.1446
2438,53.1723
1737,90.6607
1787,89.2561
81,96.7437
1282,101.9717
1939,86.736
1856,80.9275
69,63.9212
1726,88.004
1524,59.7174
846,72.9701
1156,98.9456
2281,102.2096
2535,58.4867
1848,21.1102
1591,99.6898
2196,84.3045
1294,80.0036
1401,68.6513
2387,95.5261
682,95.3458
160,119.0141
1570,96.619
849,88.5983
798,91.6742
443,96.7208
1138,45.9917
704,101.8133
1036,79.9821
2267,101.7322
499,23.9535
1360,108.2844
2016,96.4638
1881,34.6989
2032,4.0919
1084,92.7718
2485,30.1937
333,31.2489
1433,100.0654
264,88.7815
1455,69.4979
2179,91.6389
2341,78.0557
1283,37.4237
2114,32.3649
1604,81.4819
1623,72.263
709,95.9825
958,5.981
2256,86.9299
2362,98.1558
745,91.2495
2170,24.2776
303,99.6757
1983,69.2665
532,49.6615
1805,34.516
43,92.5369
1074,35.9821
2483,61.4309
356,45.0207
975,107.49
2369,108.6824
2166,110.3562
256,92.3498
1812,73.7694
2190,31.2176
1446,96.3819
2126,51.577
253,99.2743
1391,81.4078
985,61.7999
2184,71.5108
2519,84.3238
1273,84.9157
2448,75.0627
2452,20.3838
2319,94.0772
764,97.5156
602,86.6438
1712,56.0957
1341,92.0291
1745,95.9945
2243,102.4926
1239,67.4176
1617,59.7085
1777,101.1106
1816,95.9415
2140,90.7754
1716,114.2088
1368,97.6445
2158,87.8143
1658,99.3789
306,67.4994
747,84.2264
568,49.9844
1850,85.5486
455,74.5839
1580,80.8578
1356,68.7387
445,53.7111
34,6.1241
1501,71.5102
500,59.0879
1894,91.9005
957,100.3076
209,103.3522
149,96.663
1563,55.8404
1363,90.5336
88,52.6111
452,67.0713
876,101.8477
1697,106.4259
1347,31.3717
737,103.5058
346,98.1382
282,95.4366
1684,73.1881
969,142.1109
1703,94.4667
475,106.4422
2512,64.7387
260,94.932
818,18.4607
1145,48.5559
1475,32.4397
2334,73.6235
273,93.0321
1973,96.6156
625,63.7125
1862,15.1559
67,9.1517
1807,97.2788
857,97.7578
2510,95.4445
643,91.7265
2061,79.1102
905,59.6187
699,98.5116
2202,42.4279
847,54.2361
2229,89.8925
201,90.1259
1809,97.2845
955,33.8918
1740,101.7983
2526,86.3541
1384,72.3475
1566,98.0289
1934,89.1619
1561,81.1219
1595,79.1272
617,88.2898
677,11.095
2421,95.242
1167,46.7413
2161,84.3544
2298,95.6629
2092,54.262
1639,91.2813
1642,115.4541
1457,102.2279
2304,107.5775
1844,96.6057
1924,100.9009
1982,93.8892
3,51.9438
1346,53.6887
834,41.2292
1860,104.5333
1575,95.5877
37,60.7645
406,88.7533
1904,92.7252
328,70.9249
2204,96.6684
2501,98.1707
451,107.3416
2112,9.5169
2534,76.2788
2333,61.6467
420,69.2685
2137,53.1039
120,100.5593
2426,95.905
1206,6.193
1226,58.5355
679,95.3229
1179,29.5638
1002,5.2215
1426,59.7868
1653,47.7217
1053,84.4405
683,108.5228
591,91.3616
686,83.1167
2498,72.9612
77,58.2312
504,133.535
378,64.1504
1744,1.6589
1377,105.7915
684,81.8855
1159,75.5829
1081,85.9509
249,15.3212
1071,98.2255
1122,83.3796
2342,99.8371
478,95.0631
825,83.1446
1322,48.3689
743,66.0718
856,96.5247
314,53.5562
2026,98.7751
2153,96.3186
1350,83.0318
2094,24.5058
539,89.1729
