ID,Target
32,98.9371
376,100.242
71,79.6457
2232,77.2398
2018,102.687
1971,94.8556
1727,73.7932
2220,78.8587
27,58.5975
622,98.5569
1065,95.8957
399,62.1322
2088,89.9244
2059,86.1806
1256,86.2543
441,55.003
833,92.2868
428,33.9914
1875,26.6414
1466,48.0748
2503,67.4614
1112,81.986
1114,49.02
870,77.0686
2100,73.9283
666,69.998
768,82.8963
1192,47.1919
280,75.0339
2453,86.8353
315,111.7034
417,88.843
1165,89.3411
1841,78.0879
2532,10.453
1052,122.2718
2373,91.3878
434,88.9999
921,80.9637
1734,12.3656
1189,25.2664
901,55.6239
2297,38.0783
301,22.0657
1719,99.5783
659,107.9589
1428,27.4217
614,81.9641
2052,88.0325
39,18.0248
460,103.3459
2096,53.6449
1197,84.2753
525,85.6207
670,66.7028
1718,70.3723
14,101.3191
75,69.6773
1107,91.0811
2357,86.8596
1796,75.4766
1961,74.3424
424,22.8241
1534,75.3518
534,75.407
54,96.2485
1500,96.1063
2031,86.7033
360,76.1453
2385,85.4767
225,90.3892
2311,96.9706
1223,66.3358
416,85.1595
1523,88.5148
1390,70.7925
398,87.8104
1620,82.5736
1096,21.5034
1121,97.543
2160,57.6255
2438,62.7923
1737,90.79
1787,92.4499
81,88.9088
1282,102.3208
1939,84.9918
1856,85.8737
69,63.6564
1726,90.0918
1524,59.1867
846,70.0806
1156,95.7066
2281,102.5969
2535,70.8511
1848,32.6188
1591,93.8145
2196,82.1535
1294,78.466
1401,63.6194
2387,91.7863
682,95.8234
160,118.4894
1570,94.0183
849,88.2307
798,92.0025
443,95.5403
1138,47.3192
704,101.731
1036,70.5746
2267,104.0856
499,27.6886
1360,108.3531
2016,95.9264
1881,31.5029
2032,4.1058
1084,93.5845
2485,33.5076
333,38.1324
1433,106.9519
264,90.5
1455,73.2675
2179,90.7614
2341,72.8259
1283,50.0904
2114,36.8624
1604,82.315
1623,70.4882
709,95.9858
958,5.1179
2256,86.687
2362,96.7708
745,91.3522
2170,29.8037
303,97.3764
1983,65.5962
532,50.3053
1805,46.4071
43,91.8077
1074,55.3839
2483,69.3582
356,46.7968
975,107.1407
2369,106.8509
2166,108.9048
256,92.5057
1812,78.962
2190,33.7132
1446,95.7633
2126,52.8653
253,98.3741
1391,82.7415
985,60.8054
2184,70.2936
2519,84.7451
1273,72.7231
2448,72.7317
2452,21.7338
2319,93.6355
764,97.0465
602,88.9808
1712,56.7118
1341,89.8317
1745,92.5283
2243,102.2856
1239,70.738
1617,63.2654
1777,101.6539
1816,93.8115
2140,89.5772
1716,113.5036
1368,98.3367
2158,82.9711
1658,98.3723
306,67.0431
747,86.0678
568,54.7786
1850,87.5625
455,79.038
1580,90.7235
1356,63.338
445,60.0869
34,9.4939
1501,69.2378
500,63.6635
1894,92.1493
957,99.758
209,103.3474
149,97.2019
1563,60.2352
1363,91.284
88,59.7843
452,77.2416
876,100.6893
1697,107.7622
1347,29.6482
737,104.1125
346,97.6151
282,99.6719
1684,67.0765
969,133.0818
1703,104.0094
475,106.2543
2512,63.0299
260,94.3511
818,19.7099
1145,53.4491
1475,40.1746
2334,73.503
273,94.4157
1973,93.2245
625,63.4342
1862,11.4032
67,7.7423
1807,97.0086
857,87.4352
2510,95.5926
643,89.8815
2061,76.7329
905,62.9607
699,96.6971
2202,41.7572
847,61.2839
2229,90.9251
201,87.1282
1809,89.5121
955,35.0647
1740,108.3808
2526,89.2683
1384,76.867
1566,97.6639
1934,92.4616
1561,79.6071
1595,78.5694
617,91.5295
677,18.3233
2421,94.6837
1167,48.9062
2161,85.1498
2298,96.1055
2092,55.8043
1639,88.4153
1642,109.8981
1457,101.2351
2304,103.8884
1844,94.5055
1924,99.5024
1982,93.7305
3,51.3899
1346,63.3814
834,50.4677
1860,103.0238
1575,95.4782
37,64.8501
406,89.102
1904,93.2483
328,77.5357
2204,94.9415
2501,94.763
451,105.6988
2112,10.6125
2534,70.6593
2333,60.1716
420,69.8552
2137,53.938
120,105.9484
2426,90.4261
1206,8.7733
1226,57.736
679,93.5322
1179,21.0951
1002,5.2095
1426,78.7087
1653,45.1057
1053,65.4957
683,107.2456
591,92.973
686,78.0489
2498,67.835
77,59.5918
504,125.631
378,60.6343
1744,9.429
1377,107.1634
684,81.5375
1159,73.1618
1081,87.0336
249,13.3203
1071,97.3407
1122,86.8045
2342,101.2711
478,94.2747
825,84.0063
1322,48.2701
743,80.248
856,96.2536
314,59.562
2026,98.0195
2153,91.6927
1350,81.7881
2094,24.6369
539,84.894
1413,82.1894
802,76.4585
1936,112.3923
752,70.2783
2198,35.6028
1636,39.7007
1773,5.8878
1768,97.7461
156,88.5265
2291,91.771
28,56.6519
1772,37.967
367,92.2197
1091,5.8797
1224,96.5503
2212,72.2262
717,97.7848
1916,84.0631
2021,99.9037
1765,97.9002
359,76.3182
1325,75.9315
784,95.2456
2429,115.8892
2219,65.8384
2494,96.4286
1808,72.7161
2330,74.7781
2477,95.5144
2289,75.1233
1461,56.9365
652,97.4433
1568,91.3702
524,17.2104
1317,22.6155
629,90.0045
1434,101.4799
2296,67.1062
829,62.2857
2391,41.9614
814,109.9669
219,89.0675
2379,86.2578
2411,114.3867
708,88.1754
1361,94.9665
1849,92.0727
1393,92.9785
2148,96.9656
1828,41.4446
2321,82.5879
202,88.8031
2300,91.3825
739,55.9235
1421,85.0985
2407,52.9052
228,90.5833
582,99.4535
2055,79.9094
9,87.4272
1418,94.9251
1913,98.9756
819,83.4037
2506,61.0494
2255,72.2336
339,5.8688
1101,59.91
1026,79.5561
748,108.254
1436,92.7755
733,93.622
112,73.0022
1666,54.7306
1742,65.4389
477,87.9194
357,94.7696
2523,89.0103
1578,74.4105
543,82.4399
2274,88.5931
1663,54.771
2505,51.8642
388,89.8175
252,69.2378
2175,47.9704
2400,53.0824
92,91.5198
655,96.1106
2419,82.2239
2337,37.5349
517,52.9192
1928,79.1923
1087,44.5238
345,99.8183
880,87.0392
1089,72.5262
2476,94.8628
2225,86.9181
1342,31.3991
2164,40.0261
2493,83.601
738,87.6149
446,39.2538
407,98.4047
336,60.5678
1821,11.5134
1979,87.5904
1912,84.7569
2279,105.0358
1105,37.5489
436,52.8043
1215,87.1363
1201,91.9185
990,91.0506
2417,26.4904
2082,81.0664
1042,52.1057
1106,101.1183
2309,65.1724
1681,88.2596
1974,61.4569
2118,91.6406
1766,83.2632
2104,8.8299
2295,54.1176
563,94.5945
864,58.3801
1788,93.2316
600,36.6119
2015,94.4239
1276,99.9399
2017,11.2582
1376,95.6131
1012,85.2023
2171,94.7129
1470,56.4729
1075,93.2615
427,96.6711
1911,67.2283
254,90.838
279,91.6914
994,100.7679
1986,86.9301
194,100.8483
1654,29.3346
2322,100.2807
2209,97.0037
2287,76.4402
2511,70.0778
1976,40.8223
1007,67.9846
866,45.4771
1176,100.8226
2425,83.7806
727,93.1064
927,83.8015
1530,100.8746
2222,97.8993
327,80.403
2068,90.5417
2495,86.5745
756,85.0024
493,54.9213
2127,102.1767
1018,98.1123
351,90.0131
95,53.377
73,70.8766
1264,103.9144
991,53.1842
86,97.1007
790,86.9722
2338,87.7295
741,94.178
2406,82.836
1978,98.3051
2185,71.8565
491,87.1219
497,102.8749
2138,85.423
5,98.5573
2315,32.9919
45,41.8597
203,52.2004
1028,75.9087
705,48.066
564,97.4897
474,95.2235
1194,94.3451
129,81.8142
800,72.571
1353,83.8673
730,98.8317
1822,56.0829
1886,31.0073
289,58.7063
1373,87.356
2224,69.7124
2271,79.2138
1776,83.7797
806,85.7724
553,47.5592
2430,93.5802
837,10.1438
1984,88.7784
858,66.004
501,94.4454
2011,17.2832
237,49.7312
2081,76.6834
1922,97.4715
1419,83.7981
1014,42.7393
1340,72.4236
482,79.1293
783,12.5418
1918,88.6615
235,102.0915
276,21.4317
1970,99.7958
1088,57.3638
1829,27.9108
2410,77.7868
1431,79.7424
884,81.8681
2402,92.8859
1338,91.7323
1281,91.4051
960,89.417
1859,34.2469
2174,29.4805
2399,57.3736
1958,58.4699
18,81.1111
1180,110.1814
97,103.8355
1905,87.9381
174,97.4242
2249,66.4285
450,58.8404
1784,78.9042
1465,95.2017
2415,72.1003
317,85.5808
2152,119.6523
1665,96.4701
412,81.8053
723,49.2111
168,84.8286
2090,62.824
2188,97.7447
2310,74.9429
1094,103.095
1632,101.6063
1054,82.0589
187,75.3093
1611,81.8381
35,94.569
62,90.6947
1323,91.8638
667,90.9613
1307,85.6304
2434,95.93
2305,95.7941
226,75.7668
1515,74.0558
84,67.4634
973,99.8661
2266,18.301
1741,64.0042
57,95.6999
1969,26.4276
2482,85.0928
1562,100.2348
349,96.416
1494,78.047
2145,77.7963
128,103.5192
1547,51.2598
1567,49.1224
2353,63.2325
1705,85.8145
521,102.5083
79,76.1913
1441,86.4041
2036,103.4855
1564,85.7986
1779,15.4749
272,109.8478
1660,62.9667
1429,85.3517
94,94.341
2468,84.039
386,59.6557
1267,94.553
74,67.473
507,87.8664
621,96.8605
48,95.2584
610,33.4129
1702,65.0478
1400,95.4833
1634,46.5576
171,47.4117
1460,62.9707
