ID,Target
32,102.7194
376,102.7718
71,64.7617
2232,70.6616
2018,105.2141
1971,89.2648
1727,83.9568
2220,82.0638
27,54.5523
622,100.8885
1065,95.4711
399,64.3466
2088,95.6815
2059,90.9547
1256,82.9097
441,55.8184
833,89.5089
428,37.8692
1875,23.439
1466,43.5061
2503,66.9799
1112,86.5344
1114,43.4274
870,76.2894
2100,82.4101
666,55.6986
768,83.1501
1192,34.9632
280,75.2725
2453,87.5426
315,107.6936
417,74.4246
1165,93.4965
1841,76.6734
2532,8.2065
1052,118.1678
2373,91.7785
434,80.6117
921,75.8829
1734,8.2469
1189,21.7188
901,54.7684
2297,47.3086
301,16.7754
1719,105.5856
659,96.6334
1428,23.1321
614,73.777
2052,86.8207
39,10.953
460,102.4934
2096,53.5301
1197,75.4011
525,88.0948
670,67.6218
1718,66.246
14,99.1436
75,78.1228
1107,94.2996
2357,88.8504
1796,66.0399
1961,76.7529
424,23.9883
1534,83.4781
534,77.2328
54,95.1744
1500,88.9972
2031,93.9736
360,76.5559
2385,83.7763
225,87.1522
2311,91.2849
1223,67.6907
416,83.3757
1523,89.0299
1390,67.5841
398,89.1073
1620,66.5457
1096,21.44
1121,98.2246
2160,54.2721
2438,46.2048
1737,91.0472
1787,90.556
81,92.5339
1282,101.7754
1939,92.6989
1856,83.815
69,46.8362
1726,89.8063
1524,58.5515
846,71.8667
1156,95.4197
2281,102.0795
2535,41.6117
1848,15.0524
1591,97.9696
2196,75.9464
1294,71.9771
1401,70.4317
2387,91.962
682,95.8655
160,122.4397
1570,94.4885
849,91.5738
798,87.6684
443,98.0365
1138,36.8617
704,99.9292
1036,92.4185
2267,97.0637
499,30.4382
1360,104.7494
2016,96.8924
1881,29.0169
2032,2.3866
1084,92.4751
2485,25.4416
333,49.148
1433,81.955
264,86.9512
1455,81.0706
2179,93.7281
2341,81.3367
1283,38.5577
2114,34.5478
1604,83.0442
1623,37.505
709,97.8817
958,4.0816
2256,92.4302
2362,98.1626
745,87.7447
2170,21.6607
303,103.0072
1983,64.6998
532,46.1581
1805,43.2416
43,94.8222
1074,26.2309
2483,63.7253
356,40.1915
975,105.9093
2369,102.6087
2166,106.1801
256,93.971
1812,87.9902
2190,24.4463
1446,97.7521
2126,49.8861
253,99.1794
1391,83.9459
985,62.5863
2184,71.5197
2519,80.9261
1273,85.2774
2448,81.8907
2452,21.8149
2319,96.1417
764,96.1583
602,89.2171
1712,57.8617
1341,94.3594
1745,91.5997
2243,98.7243
1239,53.4164
1617,60.8878
1777,99.9345
1816,95.4324
2140,90.7181
1716,119.4507
1368,99.2141
2158,86.3124
1658,98.4429
306,66.6706
747,85.0447
568,67.0121
1850,43.51
455,72.5576
1580,91.6927
1356,66.909
445,57.9895
34,3.1847
1501,65.2558
500,89.0717
1894,93.9088
957,99.9202
209,104.2993
149,97.8057
1563,57.99
1363,94.9073
88,53.6039
452,59.9737
876,100.2634
1697,105.7425
1347,24.5052
737,103.4644
346,99.0896
282,98.7417
1684,47.5192
969,130.9247
1703,94.4455
475,105.6901
2512,67.4678
260,96.1426
818,14.2391
1145,54.3697
1475,37.8562
2334,76.4337
273,92.5749
1973,99.2607
625,66.1398
1862,11.6042
67,15.9527
1807,96.5387
857,98.3669
2510,97.8144
643,91.061
2061,73.9193
905,63.3348
699,100.8489
2202,39.2416
847,48.8119
2229,92.4622
201,89.0414
1809,88.4042
955,13.6668
1740,112.8672
2526,91.1336
1384,70.6705
1566,98.6343
1934,94.2168
1561,79.2773
1595,83.3133
617,76.8319
677,27.1485
2421,97.186
1167,46.7692
2161,91.7546
2298,97.4239
2092,49.808
1639,90.1766
1642,116.1349
1457,96.3349
2304,95.1364
1844,92.1983
1924,101.7379
1982,95.818
3,43.862
1346,56.1532
834,60.2862
1860,101.5599
1575,97.3825
37,66.4863
406,73.3145
1904,96.3696
328,74.8167
2204,95.7815
2501,98.1259
451,104.3761
2112,20.207
2534,73.4004
2333,67.8097
420,63.6888
2137,51.066
120,89.4392
2426,94.5065
1206,11.7879
1226,56.1347
679,95.7494
1179,13.158
1002,4.3224
1426,68.3872
1653,50.0362
1053,68.3972
683,106.1423
591,93.2324
686,87.3067
2498,75.6223
77,57.4803
504,118.0646
378,69.6206
1744,6.3449
1377,104.0514
684,84.6217
1159,66.7427
1081,90.9462
249,17.039
1071,99.6234
1122,91.1501
2342,101.8088
478,100.073
825,84.3363
1322,47.3297
743,74.762
856,98.448
314,49.4972
2026,97.8908
2153,93.7799
1350,82.6377
2094,21.0898
539,88.1415
1413,85.0018
802,77.1253
1936,106.414
752,67.2799
2198,33.2748
1636,37.6135
1773,3.22
1768,97.6243
156,94.0874
2291,95.4952
28,15.0777
1772,38.7514
367,90.6594
1091,4.6262
1224,97.6552
2212,69.0976
717,97.5576
1916,90.1029
2021,99.6429
1765,98.0728
359,75.1699
1325,67.4028
784,95.9519
2429,113.9699
2219,69.7379
2494,100.1892
1808,85.6929
2330,66.6839
2477,89.899
2289,73.0142
1461,54.1197
652,97.5079
1568,89.1209
524,11.0007
1317,15.8546
629,96.0544
1434,102.2844
2296,65.3277
829,68.0626
2391,30.7545
814,114.9496
219,88.1816
2379,90.8028
2411,114.5033
708,88.1534
1361,97.144
1849,93.4869
1393,100.3179
2148,102.552
1828,52.0646
2321,89.0476
202,79.0392
2300,93.3996
739,78.9703
1421,77.4622
2407,71.4749
228,89.2866
582,100.5256
2055,85.0883
9,91.5819
1418,95.1543
1913,95.3967
819,82.4374
2506,50.4571
2255,69.8906
339,4.6431
1101,60.4062
1026,84.3458
748,104.1883
1436,89.6134
733,98.5361
112,72.5726
1666,60.5488
1742,80.2359
477,65.6331
357,74.4623
2523,94.8336
1578,87.4198
543,89.9955
2274,81.7816
1663,58.8088
2505,54.0436
388,94.4381
252,65.2558
2175,48.5607
2400,57.3182
92,93.4022
655,97.9584
2419,91.1186
2337,24.505
517,56.845
1928,80.8528
1087,62.9034
345,98.1562
880,89.063
1089,42.3671
2476,96.019
2225,83.5228
1342,34.2318
2164,31.521
2493,73.499
738,84.0257
446,31.8136
407,97.6853
336,63.5813
1821,6.2031
1979,82.8616
1912,85.4459
2279,103.3799
1105,22.3294
436,50.1609
1215,81.2852
1201,89.592
990,91.7781
2417,23.8486
2082,82.4917
1042,36.8436
1106,100.1904
2309,65.0917
1681,92.3008
1974,66.4116
2118,29.0223
1766,90.309
2104,7.195
2295,51.9939
563,95.6029
864,58.6688
1788,78.4957
600,22.7157
2015,96.9059
1276,100.6975
2017,17.6713
1376,95.0057
1012,76.298
2171,93.5438
1470,58.1897
1075,94.6124
427,96.7992
1911,69.5002
254,88.7581
279,96.3826
994,100.5739
1986,87.9991
194,101.7649
1654,19.2567
2322,99.4892
2209,98.0141
2287,75.3119
2511,67.1477
1976,40.7944
1007,73.1327
866,47.8462
1176,102.4253
2425,79.9998
727,91.5852
927,85.9927
1530,102.1914
2222,100.5074
327,78.2584
2068,82.0721
2495,85.0969
756,87.9071
