ID,Target
32,101.627
376,102.2448
71,67.1398
2232,77.0591
2018,106.4034
1971,68.5325
1727,69.6451
2220,80.3389
27,53.1826
622,100.6335
1065,100.7473
399,62.0489
2088,95.6743
2059,91.7968
1256,89.6799
441,55.25
833,94.6263
428,32.7205
1875,24.8782
1466,55.5886
2503,85.9859
1112,85.6267
1114,42.9923
870,74.7981
2100,85.6184
666,52.211
768,82.3735
1192,43.3449
280,80.766
2453,87.9586
315,109.8484
417,79.8489
1165,94.1313
1841,79.1432
2532,7.1415
1052,120.8424
2373,83.0707
434,92.1195
921,79.6635
1734,6.0509
1189,14.4151
901,55.6513
2297,49.1584
301,28.7102
1719,104.4225
659,100.8302
1428,30.7829
614,80.5282
2052,86.8955
39,3.9475
460,99.8272
2096,50.429
1197,81.9712
525,89.3916
670,66.0424
1718,64.418
14,97.0933
75,75.4161
1107,98.4674
2357,90.8731
1796,71.557
1961,75.3403
424,23.0442
1534,90.7881
534,80.0756
54,96.7961
1500,96.2039
2031,94.8912
360,74.4972
2385,85.7322
225,94.0951
2311,97.1864
1223,67.2738
416,84.2762
1523,91.0528
1390,66.8927
398,89.8938
1620,64.3657
1096,20.0427
1121,98.8781
2160,57.6653
2438,40.4047
1737,92.9518
1787,86.9249
81,98.8064
1282,99.972
1939,94.3301
1856,82.7495
69,47.423
1726,86.741
1524,59.6236
846,83.6655
1156,99.0389
2281,103.5412
2535,29.1315
1848,7.6402
1591,99.3862
2196,77.576
1294,70.6445
1401,72.255
2387,97.3654
682,96.1373
160,119.6358
1570,96.6825
849,92.3507
798,90.5106
443,98.1375
1138,47.5354
704,103.3079
1036,90.5456
2267,78.2743
499,25.2661
1360,106.2263
2016,97.6217
1881,33.7373
2032,3.218
1084,96.6649
2485,26.438
333,40.8799
1433,46.926
264,85.3506
1455,80.2697
2179,93.7644
2341,87.8863
1283,45.1097
2114,29.1389
1604,81.8752
1623,59.0063
709,97.6057
958,3.9076
2256,91.7081
2362,99.2037
745,89.0609
2170,23.6141
303,103.2222
1983,81.6993
532,48.2626
1805,40.3182
43,95.9835
1074,24.0849
2483,40.5118
356,33.3486
975,104.1802
2369,105.7229
2166,106.3227
256,92.3581
1812,93.4792
2190,16.8493
1446,97.7891
2126,56.2929
253,98.5021
1391,85.6175
985,61.8365
2184,62.2345
2519,80.6067
1273,93.5086
2448,80.5275
2452,23.119
2319,92.9641
764,97.4579
602,90.3799
1712,59.1304
1341,92.6166
1745,94.7757
2243,101.5198
1239,57.4368
1617,63.5257
1777,99.4203
1816,96.0227
2140,93.341
1716,118.0992
1368,99.464
2158,91.2066
1658,98.3805
306,69.4658
747,85.0697
568,73.3761
1850,73.8769
455,63.2882
1580,90.2001
1356,69.243
445,59.913
34,0.4079
1501,68.1569
500,79.9539
1894,94.163
957,99.2805
209,103.3951
149,97.0679
1563,54.5917
1363,102.067
88,48.7282
452,50.0093
876,102.2721
1697,104.7366
1347,22.125
737,103.6515
346,99.497
282,96.9111
1684,47.8598
969,143.2207
1703,106.2543
475,106.9733
2512,63.1434
260,96.1608
818,14.9654
1145,62.5565
1475,35.7141
2334,70.5803
273,94.3308
1973,98.0561
625,62.7685
1862,9.8184
67,3.6574
1807,97.9522
857,87.7567
2510,97.7427
643,95.5475
2061,74.3087
905,70.7636
699,99.4246
2202,35.8814
847,47.1992
2229,94.2919
201,89.6495
1809,101.0164
955,9.2059
1740,106.3332
2526,96.4883
1384,73.1464
1566,98.6324
1934,90.7533
1561,81.8774
1595,87.9229
617,105.3314
677,9.9794
2421,96.6868
1167,45.305
2161,92.636
2298,98.5657
2092,55.8761
1639,93.4613
1642,107.8067
1457,101.2242
2304,81.4187
1844,95.1204
1924,99.9112
1982,96.4728
3,44.071
1346,66.2003
834,60.85
1860,103.3276
1575,96.3669
37,86.6508
406,85.1367
1904,96.6329
328,70.2608
2204,99.3028
2501,99.2671
451,105.9178
2112,6.1964
2534,77.9993
2333,65.6344
420,68.1048
2137,51.0549
120,108.8708
2426,97.3714
1206,3.5293
1226,56.538
679,96.8007
1179,11.2267
1002,4.6265
1426,67.6862
1653,49.871
1053,74.3778
683,107.9735
591,93.1742
686,92.1023
2498,76.8204
77,57.4157
504,124.5751
378,77.5897
1744,1.4548
1377,104.3439
684,83.7297
1159,79.8464
1081,94.4787
249,16.7369
1071,100.1162
1122,93.379
2342,99.025
478,99.6998
825,83.2087
1322,46.1409
743,60.208
856,96.6488
314,42.1408
2026,98.0457
2153,96.9244
1350,84.709
2094,19.3473
539,89.2156
1413,81.5279
802,79.5889
1936,107.0349
752,68.0838
2198,26.6632
1636,42.528
1773,4.8369
1768,98.2067
156,95.0278
2291,96.687
28,10.7255
1772,35.3794
367,95.5026
1091,4.2164
1224,97.4033
2212,74.8731
717,96.2937
1916,91.4455
2021,102.4762
1765,98.3005
359,81.1635
1325,40.1268
784,96.9241
2429,113.3823
2219,70.5856
2494,98.053
1808,99.7324
2330,67.2554
2477,102.5828
2289,74.2764
1461,49.2904
652,97.842
1568,88.9653
524,7.6714
1317,13.5992
629,91.7075
1434,99.7523
2296,58.0313
829,65.4015
2391,23.7975
814,110.2346
219,90.2405
2379,91.8442
2411,111.0182
708,91.4565
1361,98.2605
1849,93.0177
1393,100.3406
2148,101.5574
1828,52.5332
2321,90.8682
202,94.7569
2300,95.2107
739,69.0143
1421,79.673
2407,72.9533
228,89.5571
582,100.0381
2055,86.3645
9,93.8018
1418,95.5098
1913,105.7562
819,82.897
2506,32.5571
2255,79.2743
339,5.0856
1101,63.0211
1026,84.189
748,105.851
1436,92.7919
733,102.1517
112,85.5097
1666,63.0468
1742,82.951
477,87.9877
357,96.2782
2523,94.8113
1578,82.7675
543,84.8788
2274,79.969
1663,63.5171
2505,47.8686
388,99.2865
252,68.1569
2175,62.564
2400,67.34
92,93.155
655,96.0481
2419,86.5939
2337,9.1793
517,57.2658
1928,77.1136
1087,60.8292
345,96.5658
880,90.6836
1089,88.2165
2476,97.8912
2225,91.2968
1342,39.3543
2164,30.5397
2493,75.6241
738,86.6684
446,32.9732
407,98.9214
336,64.5964
1821,5.8432
1979,85.1814
1912,84.4017
2279,102.6574
1105,11.1041
436,45.8356
1215,90.2888
1201,91.1774
990,83.2477
2417,14.8307
2082,83.7401
1042,65.4323
1106,100.313
2309,74.9471
1681,88.4061
1974,66.9488
2118,101.031
1766,90.5242
2104,5.1339
2295,47.792
563,94.7176
864,53.4212
1788,85.177
600,20.2443
2015,97.2478
1276,98.4323
2017,5.4278
1376,96.8849
1012,95.7045
2171,98.4202
1470,58.3557
1075,99.0227
427,96.498
1911,68.4721
254,90.7562
279,96.6383
994,100.62
1986,84.5777
194,105.5427
1654,19.4462
2322,101.8029
2209,97.6255
2287,77.4125
2511,58.935
1976,19.2753
1007,75.4114
866,40.0972
1176,100.7703
2425,88.0297
727,99.1956
927,86.0717
1530,102.5287
2222,98.1248
327,78.2517
2068,91.4219
2495,83.2043
756,93.5421
493,52.29
2127,101.4647
1018,99.6168
351,94.6375
95,62.9265
73,66.9233
1264,101.9272
991,57.5915
86,98.1063
790,85.956
2338,97.5376
741,97.8474
2406,80.4809
1978,99.3723
2185,66.8586
491,86.6668
497,100.6916
2138,86.4701
5,102.566
2315,17.2102
45,11.8502
203,52.3489
1028,77.9894
705,51.2405
564,98.0502
474,96.7562
1194,93.2685
129,81.0613
800,74.6904
1353,85.1352
730,99.7896
1822,35.9574
1886,26.7967
289,48.5725
1373,84.6993
2224,61.6117
2271,70.6135
1776,89.2291
806,85.946
553,48.5491
2430,94.1613
837,9.1063
1984,88.9359
858,61.0468
501,94.8799
2011,5.7869
237,63.2678
2081,65.9344
1922,98.4501
1419,85.3984
1014,17.6857
1340,62.3548
482,77.8307
783,1.596
1918,92.7057
235,102.0087
276,19.5668
1970,98.265
1088,55.9266
1829,29.5787
2410,81.3135
1431,75.3288
884,82.8894
2402,98.7961
1338,92.7679
1281,95.6951
960,91.9666
1859,27.3277
2174,7.5546
2399,58.4526
1958,64.4879
18,88.4754
1180,112.1957
97,112.3711
1905,89.5025
174,99.3482
2249,57.4866
450,60.8965
1784,71.1118
1465,102.2054
2415,71.7913
317,87.0335
2152,112.9851
1665,96.07
412,82.6783
723,48.0697
168,89.0957
2090,63.9151
2188,97.61
2310,76.1868
1094,109.1009
1632,105.3427
1054,83.722
187,80.3372
1611,83.9567
35,96.6288
62,95.4209
1323,98.0187
667,97.4183
1307,98.5822
2434,74.21
2305,96.5298
226,62.527
1515,76.0823
84,64.936
973,100.0808
2266,20.2902
1741,63.7433
57,98.2201
1969,27.1312
2482,85.0068
1562,100.9285
349,97.3884
1494,83.9613
2145,67.8545
128,99.2697
1547,9.3697
1567,59.2907
2353,67.3092
1705,88.8774
521,105.8738
79,93.8339
1441,84.0494
2036,99.0654
1564,86.1408
1779,6.4035
272,108.2336
1660,58.1045
1429,85.6179
94,99.7738
2468,84.4564
386,29.9073
1267,97.0362
74,73.2863
507,95.7811
621,99.8981
48,95.284
610,4.8499
1702,66.2776
1400,86.9295
1634,38.8214
171,43.1282
1460,62.6556
1309,98.3333
1592,104.9272
1836,88.5362
1750,18.2165
636,22.1471
1692,68.3553
598,3.8433
1351,52.5253
1058,59.9678
1344,30.0637
1202,98.0544
2074,85.7994
1963,26.984
1456,92.8224
1069,104.7085
871,98.4556
1330,5.8862
1387,81.7427
2106,99.609
1077,19.1102
1599,95.9253
2481,54.423
1927,97.9261
1286,27.2352
2496,98.3084
164,48.7642
1430,97.1678
1804,95.7094
2389,11.313
341,90.1484
845,107.4004
1109,82.9334
868,94.4696
2087,89.5552
1024,74.3429
1668,72.7966
2038,96.7451
2500,57.4764
104,102.1044
1586,92.1363
2522,6.0771
1688,99.8098
1792,70.4788
943,97.9785
20,42.7364
1312,92.7118
1435,89.1291
869,4.2967
1383,69.0555
1359,134.8946
640,51.3375
2008,96.7526
1700,54.0977
1193,81.3573
882,0.5048
688,32.2072
90,76.8437
612,52.9252
24,101.1855
1589,72.8704
2268,33.0352
2364,57.2334
