ID,Target
32,105.3543
376,101.9013
71,62.5867
2232,74.9782
2018,100.3023
1971,72.0258
1727,77.1096
2220,75.9574
27,51.5942
622,101.8659
1065,85.0724
399,67.8579
2088,94.867
2059,91.9987
1256,83.847
441,57.3501
833,94.7408
428,36.7341
1875,24.9367
1466,57.3388
2503,74.8784
1112,85.4466
1114,42.9036
870,75.2484
2100,85.081
666,64.5489
768,90.1538
1192,42.5523
280,78.5724
2453,82.6368
315,107.2528
417,76.5242
1165,93.7712
1841,75.7677
2532,8.6202
1052,116.056
2373,93.4691
434,88.2051
921,80.007
1734,11.3636
1189,18.8164
901,55.5652
2297,57.7579
301,20.6052
1719,105.1905
659,86.677
1428,25.1866
614,87.7188
2052,88.0817
39,19.5242
460,103.2999
2096,52.7142
1197,78.8104
525,89.7805
670,75.0314
1718,64.9873
14,98.4066
75,83.4385
1107,96.2497
2357,91.9622
1796,69.3359
1961,74.9667
424,23.4521
1534,83.4682
534,75.6266
54,95.8011
1500,90.7234
2031,93.4113
360,79.494
2385,92.9201
225,88.5061
2311,98.0795
1223,71.9599
416,82.4385
1523,90.327
1390,66.3324
398,89.5385
1620,67.2225
1096,29.0344
1121,99.2771
2160,59.0063
2438,49.8305
1737,90.3521
1787,87.9401
81,95.2704
1282,101.5939
1939,93.9468
1856,83.8657
69,49.8133
1726,92.6632
1524,59.2256
846,72.3094
1156,98.493
2281,102.6986
2535,53.7032
1848,29.8951
1591,95.036
2196,81.1539
1294,71.3052
1401,72.98
2387,94.9856
682,94.8198
160,121.6973
1570,94.5112
849,93.1643
798,88.7982
443,97.2962
1138,46.58
704,101.2135
1036,76.5489
2267,76.1006
499,31.5822
1360,103.9718
2016,96.8858
1881,28.4165
2032,4.4253
1084,96.9541
2485,25.1455
333,51.5807
1433,56.8094
264,86.5403
1455,75.2696
2179,94.5275
2341,87.1414
1283,38.0635
2114,32.6959
1604,90.9866
1623,53.4986
709,97.2666
958,5.5443
2256,84.745
2362,98.6044
745,89.935
2170,18.6771
303,100.6507
1983,68.7253
532,47.0491
1805,54.0099
43,95.3056
1074,35.0028
2483,67.3365
356,37.0081
975,104.5581
2369,105.4164
2166,105.2483
256,92.668
1812,86.5087
2190,38.5399
1446,97.1181
2126,53.6737
253,99.5013
1391,83.1591
985,66.0411
2184,67.7984
2519,80.2047
1273,82.0433
2448,81.2545
2452,29.0249
2319,94.7729
764,95.0789
602,90.0056
1712,56.479
1341,93.9915
1745,94.6667
2243,100.3832
1239,59.2003
1617,64.2551
1777,99.8576
1816,95.2995
2140,91.3119
1716,116.6448
1368,98.5718
2158,90.1396
1658,97.9819
306,62.8297
747,85.6912
568,62.7538
1850,70.3843
455,73.9298
1580,79.2558
1356,68.6667
445,60.8574
34,6.6137
1501,66.5772
500,79.2353
1894,93.3293
957,99.8424
209,104.7634
149,97.5593
1563,67.3447
1363,97.6688
88,53.3049
452,64.397
876,100.7208
1697,104.7788
1347,22.2178
737,102.1678
346,99.8044
282,100.5126
1684,49.3946
969,131.8815
1703,105.2789
