ID,Target
32,102.1873
376,102.5599
71,62.6078
2232,77.0203
2018,107.3157
1971,64.0085
1727,71.5662
2220,81.6649
27,51.2788
622,101.886
1065,93.0036
399,62.6675
2088,95.96
2059,90.2777
1256,87.8666
441,55.4558
833,94.0307
428,33.3614
1875,22.5293
1466,53.2074
2503,72.7645
1112,87.0073
1114,40.9645
870,74.2523
2100,86.8345
666,52.7503
768,81.6129
1192,42.271
280,77.2047
2453,86.6375
315,110.4985
417,72.1509
1165,92.8004
1841,78.2762
2532,6.8714
1052,117.4651
2373,89.1865
434,88.0179
921,78.9092
1734,6.6813
1189,21.9392
901,54.6451
2297,51.8975
301,17.4505
1719,105.7762
659,100.0804
1428,24.302
614,82.1203
2052,86.4144
39,8.2746
460,102.3314
2096,50.3747
1197,81.1067
525,87.7882
670,66.3022
1718,63.6003
14,99.0359
75,77.2422
1107,96.4972
2357,91.4476
1796,68.0093
1961,76.7044
424,23.4539
1534,82.9387
534,74.258
54,96.5351
1500,92.8335
2031,94.6134
360,78.6954
2385,83.49
225,85.5618
2311,95.1739
1223,67.1321
416,83.827
1523,91.3697
1390,69.1932
398,89.6596
1620,64.229
1096,19.8474
1121,98.2594
2160,55.7081
2438,41.6027
1737,91.9748
1787,88.6694
81,96.5308
1282,100.1332
1939,93.3487
1856,82.1058
69,48.9
1726,90.1458
1524,58.6586
846,73.3961
1156,98.2928
2281,103.0015
2535,44.3778
1848,11.6786
1591,98.585
2196,76.5983
1294,70.6562
1401,74.6656
2387,96.7509
682,95.8014
160,121.3039
1570,96.9483
849,94.5857
798,87.2754
443,97.9678
1138,45.4869
704,102.2081
1036,79.9811
2267,74.6384
499,27.1921
1360,105.1998
2016,97.1552
1881,26.5425
2032,2.9795
1084,96.5469
2485,21.2683
333,27.7501
1433,46.2977
264,85.1389
1455,82.1031
2179,97.7312
2341,82.6956
1283,38.3593
2114,32.1551
1604,81.0843
1623,53.2272
709,97.628
958,3.8169
2256,91.8217
2362,98.5263
745,89.638
2170,15.8682
303,103.2976
1983,73.4398
532,47.243
1805,42.6745
43,95.8141
1074,25.5059
2483,41.7266
356,37.7666
975,105.9014
2369,105.4232
2166,108.2387
256,91.6733
1812,88.2434
2190,21.4585
1446,97.6199
2126,53.9288
253,99.1063
1391,83.5325
985,61.929
2184,69.2808
2519,81.2797
1273,89.0019
2448,79.8413
2452,21.5292
2319,96.513
764,96.8414
602,91.0466
1712,57.6662
1341,93.9281
1745,95.8544
2243,100.4994
1239,57.2793
1617,61.6666
1777,100.5335
1816,96.5101
2140,92.3093
1716,118.9179
1368,98.7644
2158,90.0814
1658,98.3287
306,67.2722
747,85.9517
568,57.069
1850,49.2564
455,69.0957
1580,85.1095
1356,70.0119
445,52.9663
34,0.8162
1501,64.1789
500,79.1281
1894,93.4719
957,100.9268
209,104.4802
149,97.4541
1563,55.5691
1363,100.1212
88,50.4628
452,56.4859
876,102.1069
1697,106.1639
1347,19.7165
737,103.4398
346,100.0512
282,98.2114
1684,37.3913
969,142.4416
1703,105.956
475,106.6721
2512,63.9455
260,95.8671
818,15.5596
1145,62.5857
1475,36.738
2334,71.4744
273,92.9765
1973,98.3115
625,63.8285
1862,10.4481
67,9.2916
1807,97.4883
857,101.6575
2510,97.9683
643,93.5857
2061,76.1588
905,75.3721
699,100.0618
2202,38.442
847,52.7809
2229,94.4464
201,89.8767
1809,95.5494
955,13.1923
1740,112.215
2526,92.8488
1384,75.2049
1566,98.6799
1934,85.2646
1561,78.8861
1595,84.1867
617,100.678
677,12.3534
2421,96.3826
1167,44.8875
2161,91.765
2298,97.2501
2092,55.597
1639,92.6449
1642,110.9329
1457,99.4802
2304,104.7243
1844,95.0901
1924,100.1168
1982,96.2087
3,47.467
1346,45.359
834,52.6944
1860,103.7616
1575,97.0377
37,65.502
406,81.6393
1904,94.4405
328,72.0271
2204,97.1202
2501,98.7379
451,105.2739
2112,12.1378
2534,76.616
2333,68.4069
420,56.3193
2137,51.1619
120,79.9137
2426,97.9935
1206,6.9996
1226,55.3951
679,95.9782
1179,12.2032
1002,4.7659
1426,66.9772
1653,51.0094
1053,72.3031
683,108.5648
591,92.386
686,89.0513
2498,75.192
77,59.2991
504,119.7021
378,75.5268
1744,2.2596
1377,103.7316
684,83.833
1159,69.3043
1081,91.8055
249,17.2525
1071,99.6494
1122,91.6785
2342,100.5277
478,100.8932
825,84.0068
1322,46.0305
743,59.3663
856,97.5813
314,45.1739
2026,97.9606
2153,96.1977
1350,81.6138
2094,19.207
539,88.9229
1413,87.8473
802,77.1955
1936,108.8907
752,64.0152
2198,30.778
1636,39.9993
1773,4.6599
1768,97.7355
156,94.7275
2291,97.0048
28,13.1263
1772,36.4577
367,94.3934
1091,4.2917
1224,97.8253
2212,66.672
717,97.1815
1916,80.8336
2021,96.8737
1765,98.048
359,77.5399
1325,75.0369
784,96.3829
2429,113.5404
2219,70.7078
2494,99.8258
1808,94.8847
2330,73.2167
2477,95.8435
2289,69.6222
1461,51.7939
652,97.644
1568,90.342
524,8.2451
1317,16.2967
629,95.6593
1434,102.2981
2296,62.6125
829,69.2647
2391,22.9781
814,110.5261
219,90.1078
2379,90.3899
2411,112.9077
708,91.523
1361,96.2758
1849,93.2504
1393,98.2971
2148,102.2064
1828,50.8558
2321,88.486
202,90.5918
2300,94.7935
739,69.0721
1421,74.5849
2407,55.9164
228,89.4097
582,100.0641
2055,85.3085
9,92.5129
1418,89.5468
1913,104.6723
819,80.1806
2506,40.3047
2255,77.023
339,5.3168
1101,61.459
1026,83.7482
748,106.1371
1436,88.0056
733,99.9279
112,85.6775
1666,62.0662
1742,74.6426
477,22.4665
357,84.2541
2523,94.6539
1578,75.3342
543,81.5752
2274,82.8421
1663,62.068
2505,51.5342
388,97.4942
252,64.1789
2175,46.2392
2400,57.3666
92,92.2387
655,97.3784
2419,85.2915
2337,14.5539
517,54.5159
1928,79.7003
1087,39.3957
345,97.8184
880,89.1602
1089,67.0108
2476,97.9984
2225,86.6517
1342,34.8664
2164,27.289
2493,74.5663
738,84.3476
446,33.7991
407,99.1385
336,64.478
1821,5.6568
1979,88.3304
1912,84.3611
2279,102.8672
1105,18.1121
436,48.534
1215,88.3499
1201,91.9381
990,90.8382
2417,14.9679
2082,83.465
1042,35.0719
1106,99.9557
2309,82.1573
1681,92.6211
1974,64.0714
2118,18.8362
1766,89.6748
2104,5.3926
2295,48.7621
563,95.5159
864,56.7979
1788,79.3192
600,25.8748
2015,97.1828
1276,99.7423
2017,13.4348
1376,96.6443
1012,92.3643
2171,97.7653
1470,57.2516
1075,96.7861
427,95.1325
1911,68.7337
254,90.3951
279,97.1434
994,101.431
1986,87.9974
194,104.3723
1654,18.2404
2322,100.8578
2209,97.8899
2287,75.6372
2511,63.0906
1976,20.9029
1007,76.8669
866,47.0149
1176,101.9016
2425,85.0941
727,95.8831
927,87.3293
1530,101.8944
2222,99.245
327,75.2989
2068,93.6961
2495,84.9558
756,92.3808
493,55.5301
2127,103.0995
1018,98.0364
351,93.8266
95,59.9784
73,67.0538
1264,102.2067
991,38.5622
86,98.1582
790,85.6935
2338,95.4065
741,98.1968
2406,78.4246
1978,99.8762
2185,63.7654
491,82.9608
497,103.0148
2138,82.5558
5,103.3613
2315,24.0161
45,20.9906
203,54.1247
1028,75.1318
705,55.6078
564,97.0935
474,95.6709
1194,92.5781
129,82.0711
800,75.284
1353,80.5473
730,100.0699
1822,35.2314
1886,30.1808
289,44.7168
1373,80.9284
2224,61.2656
2271,69.5807
1776,81.7499
806,88.7862
553,47.9645
2430,92.8167
837,9.5608
1984,89.5383
858,65.0609
501,94.9566
2011,7.2365
237,59.7191
2081,63.818
1922,97.9547
1419,84.6122
1014,34.2841
1340,67.4451
482,78.1667
783,2.0077
1918,92.2533
235,102.7915
276,17.1087
1970,99.1596
1088,55.7377
1829,25.7138
2410,81.581
1431,73.9543
884,85.6519
2402,97.4197
1338,93.7144
1281,90.1559
960,91.9083
1859,30.8556
2174,14.2375
2399,52.7545
1958,61.5743
18,87.1422
1180,112.9808
97,110.1893
1905,89.5663
174,98.6437
2249,56.2556
450,54.9491
1784,67.7482
1465,93.7409
2415,71.4728
317,88.8494
2152,113.2682
1665,94.4924
412,83.5258
723,50.924
168,89.8355
2090,64.0615
2188,99.2662
2310,75.4848
1094,108.3885
1632,103.0133
1054,79.9842
187,82.3403
1611,83.6792
35,96.7507
62,93.8618
1323,97.6984
667,96.5235
1307,100.6274
2434,60.1468
2305,97.4968
226,62.1809
1515,75.907
84,68.7047
973,100.8275
2266,18.6161
1741,61.2439
57,96.3688
1969,25.0606
2482,85.6939
1562,101.0538
349,97.1213
1494,84.5727
2145,63.004
128,100.961
1547,10.325
1567,57.3176
2353,66.8129
1705,88.6619
521,104.4165
79,90.6217
1441,86.13
2036,100.3144
1564,84.7695
1779,7.9064
272,110.6763
1660,56.9885
1429,83.3314
94,98.9426
2468,87.4694
386,36.9384
1267,97.0522
74,71.2238
507,96.2001
621,99.3301
48,94.843
610,8.4329
1702,67.1019
1400,88.7325
1634,40.7064
171,36.543
1460,60.8272
1309,98.5763
1592,104.5116
1836,88.674
1750,9.2518
636,20.9779
1692,67.8119
598,11.493
1351,32.1729
1058,61.8681
1344,31.7577
1202,97.3062
2074,84.9127
1963,24.311
1456,93.8359
1069,103.0176
871,99.8822
1330,3.8963
1387,78.4787
2106,100.2703
1077,18.9859
1599,96.2654
2481,64.6048
1927,100.4689
1286,26.2976
2496,98.136
164,49.1284
1430,97.4924
1804,94.6938
2389,12.8776
341,88.8117
845,108.833
1109,75.7263
868,92.6124
2087,90.1294
1024,76.518
1668,71.2694
2038,96.7924
2500,60.3924
104,102.2716
1586,91.4342
2522,14.0239
1688,102.3769
1792,67.7737
943,97.2917
20,33.991
1312,92.7804
1435,89.6921
869,8.2834
1383,68.1211
1359,118.3925
640,52.5819
2008,95.9423
1700,59.4885
1193,81.0127
882,0.7581
688,21.5734
90,74.9798
612,51.861
24,100.7645
1589,71.7972
2268,32.5343
2364,44.5375
2386,101.2946
557,90.3358
589,62.3072
250,99.2941
1032,78.3154
2133,46.3577
66,95.4591
584,57.3868
102,98.4523
1316,96.4754
1270,63.5182
2396,24.8591
1520,69.6111
673,102.0639
2278,99.91
1861,83.0971
1355,100.5159
1896,85.4918
2316,22.6844
767,93.5616
899,79.6008
1771,96.1422
2332,89.582
944,73.0572
2422,57.79
1023,84.5132
809,103.4525
924,104.9764
2215,101.1309
623,71.6956
323,7.9405
391,77.6882
2359,80.2798
113,86.2361
