ID,Target
32,101.5112
376,102.8232
71,59.9052
2232,77.9102
2018,107.7422
1971,63.9739
1727,72.3129
2220,81.1803
27,50.8495
622,101.9668
1065,92.5422
399,62.6281
2088,95.9297
2059,90.5776
1256,87.6481
441,55.7295
833,94.5468
428,33.1689
1875,22.5917
1466,55.333
2503,73.3877
1112,86.8296
1114,41.3032
870,74.1252
2100,87.5242
666,51.4556
768,81.7016
1192,43.0358
280,77.0882
2453,87.6913
315,110.0326
417,69.288
1165,92.6193
1841,77.5262
2532,7.0323
1052,118.5521
2373,88.8839
434,87.0704
921,79.0604
1734,6.7066
1189,20.4743
901,54.9292
2297,52.2999
301,17.217
1719,106.0061
659,103.4182
1428,22.3517
614,81.8677
2052,86.0348
39,9.5727
460,101.5724
2096,49.5144
1197,81.6528
525,87.2462
670,66.1925
1718,62.8642
14,99.0362
75,77.5617
1107,96.5382
2357,91.7269
1796,66.6058
1961,74.9547
424,23.5073
1534,82.2222
534,75.1419
54,96.488
1500,92.7612
2031,94.3713
360,77.8876
2385,84.0001
225,84.0849
2311,95.2342
1223,67.199
416,83.4548
1523,92.0069
1390,68.6756
398,89.5726
1620,63.9252
1096,19.5548
1121,98.2667
2160,55.5375
2438,38.7462
1737,91.4625
1787,88.9617
81,96.4853
1282,100.6447
1939,93.4718
1856,81.8376
69,48.778
1726,90.2132
1524,58.7374
846,72.443
1156,97.849
2281,103.5505
2535,40.3946
1848,11.1189
1591,98.5888
2196,78.0135
1294,70.0318
1401,74.2556
2387,96.7752
682,95.5794
160,121.0663
1570,96.6414
849,94.4502
798,88.1291
443,97.9793
1138,46.6378
704,102.4402
1036,81.8558
2267,73.6557
499,27.2583
1360,105.1465
2016,97.166
1881,27.0733
2032,3.315
1084,96.9015
2485,22.6651
333,30.1356
1433,43.3469
264,85.12
1455,79.1567
2179,96.9249
2341,82.6148
1283,36.7964
2114,31.3714
1604,81.0036
1623,54.2061
709,97.5394
958,4.1006
2256,91.642
2362,98.4587
745,89.9102
2170,14.5444
