ID,Target
32,102.0592
376,102.5627
71,61.4064
2232,77.3235
2018,107.4072
1971,65.2652
1727,72.3849
2220,81.8181
27,51.1286
622,101.7095
1065,92.9909
399,62.485
2088,96.1212
2059,90.2696
1256,87.458
441,55.501
833,94.2218
428,33.4666
1875,22.4055
1466,54.0917
2503,72.0415
1112,86.972
1114,41.569
870,74.2533
2100,86.7502
666,52.4518
768,81.4858
1192,42.808
280,77.5754
2453,86.9798
315,110.1827
417,70.3587
1165,92.5627
1841,77.9905
2532,6.6567
1052,117.5025
2373,89.0977
434,88.4533
921,78.5787
1734,6.5364
1189,21.1439
901,54.7643
2297,52.3035
301,17.0649
1719,105.8203
659,102.6897
1428,23.3466
614,82.0251
2052,86.0347
39,7.998
460,102.0842
2096,50.1097
1197,81.3007
525,87.2611
670,66.2228
1718,63.2923
14,98.8239
75,77.2295
1107,97.2067
2357,91.6524
1796,67.4012
1961,76.1038
424,23.3266
1534,82.9252
534,74.5304
54,96.5238
1500,93.2646
2031,94.754
360,78.3922
2385,83.5284
225,84.8431
2311,94.3602
1223,67.041
416,84.1502
1523,91.4979
1390,68.6769
398,89.6286
1620,64.0433
1096,20.7377
1121,98.1972
2160,56.5095
2438,41.8209
1737,92.2023
1787,88.6698
81,96.5355
1282,100.3872
1939,93.2311
1856,81.8662
69,48.8483
1726,91.0434
1524,58.661
846,72.3545
1156,98.2388
2281,103.3209
2535,43.475
1848,11.1134
1591,98.5235
2196,75.8602
1294,70.6651
1401,74.7336
2387,96.7573
682,95.7681
160,120.972
1570,97.144
849,95.2963
798,87.6959
443,97.9662
1138,45.976
704,102.0222
1036,79.9559
2267,77.4391
499,27.3532
1360,104.9628
2016,97.1074
1881,25.6425
2032,3.0838
1084,96.7495
2485,20.9403
333,28.2184
1433,45.105
264,84.651
1455,81.6903
2179,97.4523
2341,82.8996
1283,36.6049
2114,31.7747
1604,80.9092
1623,52.7137
709,97.6175
958,3.8346
2256,91.4367
2362,98.5292
745,89.6564
2170,14.2019
303,103.1678
1983,73.6686
532,47.6744
1805,42.719
43,95.7232
1074,25.3564
2483,41.2156
356,38.1845
975,105.7376
2369,105.0936
2166,108.0022
256,91.5502
1812,88.7094
2190,21.6473
1446,97.6024
2126,54.9126
253,99.2581
1391,83.8921
985,61.7486
2184,69.3289
2519,81.4879
1273,88.8058
2448,79.6794
2452,21.7023
2319,96.5753
764,96.8151
602,90.8998
1712,57.0854
1341,93.9606
1745,96.0207
2243,100.0358
1239,57.3785
1617,61.7874
1777,100.5227
1816,96.4075
2140,92.4551
1716,118.7793
1368,98.4793
2158,90.7452
1658,98.24
306,68.031
747,85.961
568,56.3771
1850,49.2425
455,69.1489
1580,85.0904
1356,70.6477
445,52.9637
34,0.9977
1501,64.3076
500,79.2426
1894,93.5135
957,101.109
209,104.683
149,97.5106
1563,54.8896
1363,99.7807
88,49.9176
452,55.9626
876,102.2059
1697,105.9591
1347,19.4356
737,103.3985
346,100.2495
282,98.7643
1684,39.2016
969,140.932
1703,106.2662
475,106.4832
2512,64.0526
260,95.7845
818,15.3686
1145,63.9454
1475,36.8371
2334,71.5846
273,92.9113
1973,98.3462
625,63.7498
1862,9.9486
67,8.6552
1807,97.532
857,101.88
