ID,Target
32,105.3402
376,102.0471
71,62.2717
2232,75.8247
2018,106.8242
1971,73.2612
1727,73.0859
2220,77.0454
27,51.0992
622,102.0759
1065,91.2252
399,62.9635
2088,95.0542
2059,91.4908
1256,83.5104
441,55.4443
833,93.9067
428,34.0734
1875,22.5306
1466,52.1263
2503,65.683
1112,85.8723
1114,42.1879
870,76.6661
2100,83.5736
666,66.5688
768,90.8769
1192,41.7258
280,78.1818
2453,87.6617
315,109.1491
417,76.0354
1165,93.4939
1841,80.8789
2532,6.2449
1052,116.9121
2373,89.9135
434,91.4432
921,78.2862
1734,7.2035
1189,20.7343
901,54.932
2297,51.3183
301,17.2759
1719,106.0946
659,101.6916
1428,22.8731
614,87.6671
2052,88.0234
39,12.5201
460,104.693
2096,49.6042
1197,78.7762
525,87.3071
670,66.8191
1718,64.5074
14,99.0137
75,76.3831
1107,97.3347
2357,91.1546
1796,68.2735
1961,76.6222
424,23.6778
1534,82.9847
534,73.9846
54,94.335
1500,91.0727
2031,94.5279
360,77.9263
2385,93.0312
225,88.3248
2311,96.6497
1223,67.3396
416,84.033
1523,90.6867
1390,65.3059
398,89.457
1620,64.4158
1096,19.2075
1121,98.5907
2160,52.7355
2438,44.4635
1737,90.8762
1787,90.4765
81,96.0539
1282,101.0844
1939,93.7697
1856,84.231
69,51.0481
1726,92.5743
1524,59.6046
846,73.6793
1156,98.676
2281,102.6221
2535,53.6285
1848,14.5856
1591,95.7548
2196,76.1552
1294,69.7134
1401,71.094
2387,96.397
682,95.4675
160,121.8702
1570,94.2329
849,92.2095
798,87.3736
443,97.4908
1138,45.2381
704,101.3854
1036,78.8199
2267,78.4472
499,25.2781
1360,103.6973
2016,97.0609
1881,26.2204
2032,3.3449
1084,96.0366
2485,23.3593
333,48.7254
1433,56.3444
264,87.0682
1455,81.1303
2179,98.8653
2341,86.0423
1283,37.9878
2114,33.6549
1604,91.1393
1623,53.5819
709,97.4053
958,4.2131
2256,88.9292
2362,98.0237
745,90.156
2170,16.1925
303,102.3264
1983,62.1369
532,48.0071
1805,42.7733
43,95.6371
1074,29.4865
2483,58.549
356,39.6631
975,105.1495
2369,105.2094
2166,107.7066
256,91.9398
1812,86.8064
2190,21.6349
1446,97.1159
2126,54.3259
253,99.4779
1391,81.8295
985,62.3774
2184,69.7488
2519,80.4026
1273,89.7674
2448,79.8555
2452,20.0731
2319,96.0985
764,96.2746
602,90.9403
1712,59.3338
1341,92.8529
1745,94.6619
2243,100.0978
1239,59.5306
1617,64.2792
1777,100.5336
1816,96.1886
2140,91.6895
1716,117.5485
1368,98.7497
2158,88.947
1658,98.487
306,63.6608
747,85.8931
568,61.5936
1850,62.0763
455,73.8661
1580,87.3936
1356,67.185
445,54.4509
34,1.5483
1501,65.7163
500,80.0733
1894,93.9345
957,100.3213
209,105.0823
149,97.1709
1563,60.7237
1363,98.9545
88,52.8612
452,68.8738
876,101.1035
1697,106.5713
1347,20.8792
737,102.5259
346,99.9703
282,103.5505
1684,54.7418
969,135.2626
1703,108.8341
475,104.9449
2512,64.0046
260,94.9594
818,15.4948
1145,61.9704
1475,36.6052
2334,71.898
273,93.5468
1973,95.5234
625,63.999
1862,9.334
67,12.7506
1807,97.2126
857,97.4123
2510,97.4894
643,93.6869
2061,74.1928
905,77.517
699,100.1209
2202,41.6712
847,54.6755
2229,93.4423
201,89.0138
1809,92.0984
955,11.6862
1740,113.2139
2526,91.3992
1384,71.0489
1566,98.8426
1934,91.383
1561,77.4869
1595,81.6275
617,98.7008
677,40.39
2421,95.8217
1167,52.1651
2161,91.8671
2298,97.0962
2092,51.1876
1639,89.6015
1642,109.6755
1457,99.4072
2304,100.1184
1844,92.3752
1924,100.6592
1982,96.1901
3,46.5998
1346,52.3753
834,65.1892
1860,103.4116
1575,97.3025
37,64.1659
406,84.4692
1904,95.6539
328,74.7926
2204,96.2819
2501,96.9408
451,103.7221
2112,18.137
2534,77.604
2333,67.9933
420,61.5748
2137,51.4375
120,102.6173
2426,95.7698
1206,8.5774
1226,55.2667
679,95.9601
1179,9.618
1002,4.941
1426,81.6793
1653,50.9164
1053,73.0832
683,106.4913
591,92.8105
686,89.9409
2498,74.4022
77,58.6199
504,116.7023
378,71.2511
1744,3.8571
1377,105.0065
684,84.8466
1159,70.503
1081,91.7417
249,15.65
1071,98.7776
1122,89.7278
2342,101.5475
478,100.9126
825,86.3345
1322,51.1679
743,74.1704
856,97.5234
314,46.7694
2026,97.6199
2153,95.4196
1350,80.0735
2094,20.3974
539,88.0795
1413,85.1335
802,78.0607
1936,108.394
752,65.1283
2198,30.0298
1636,38.1649
1773,4.7792
1768,97.4768
156,94.2859
2291,96.6471
28,19.9379
1772,36.5118
367,88.5925
1091,4.4798
1224,97.4918
2212,67.0571
717,97.401
1916,83.8731
2021,102.5704
1765,97.647
359,77.3977
1325,74.6683
784,96.1125
2429,113.3758
2219,74.0933
2494,99.5532
1808,87.2287
2330,73.2442
2477,95.6376
2289,81.4773
1461,49.8662
652,97.5911
1568,89.6914
524,11.877
1317,14.5362
629,92.4838
1434,102.7171
2296,65.6624
829,68.2313
2391,21.1373
814,108.875
219,89.1217
2379,90.1579
2411,114.5446
708,88.0724
1361,96.6634
1849,93.0629
1393,99.7986
2148,103.152
1828,52.9328
2321,89.7295
202,82.3235
2300,93.7474
739,71.468
1421,74.9962
2407,70.8937
228,89.5353
582,102.006
2055,85.2514
9,90.7782
1418,93.6472
1913,104.8299
819,82.5269
2506,41.273
2255,76.449
339,5.3192
1101,61.9018
1026,83.4867
748,108.019
1436,91.2019
733,95.9796
112,76.7496
1666,59.467
1742,78.5601
477,82.759
357,100.5611
2523,91.038
1578,76.7649
543,78.8992
2274,82.7289
1663,59.4828
2505,51.9106
388,95.967
252,65.7163
2175,47.3624
2400,57.0644
92,93.1309
655,97.4485
2419,82.4677
2337,17.4675
517,56.9396
1928,79.5352
1087,62.3939
345,98.1325
880,89.3419
1089,69.377
2476,97.2937
2225,82.4985
1342,33.7329
2164,25.0668
2493,72.6972
738,93.3591
446,35.5609
407,98.1742
336,65.286
1821,5.8419
1979,84.7179
1912,85.0468
2279,104.5365
1105,25.1455
436,49.9117
1215,82.6872
1201,91.7688
990,91.6587
2417,16.0292
2082,83.4888
1042,36.1069
1106,100.4508
2309,85.0183
1681,90.5857
1974,65.0167
2118,88.9259
1766,89.1633
2104,6.2851
2295,53.7276
563,95.4268
864,60.0151
1788,81.078
600,22.2954
2015,96.6442
1276,100.1806
2017,16.158
1376,95.9994
1012,91.2362
2171,98.3651
1470,57.9805
1075,96.2531
427,93.2348
1911,68.623
254,94.7995
279,96.4417
994,100.8453
1986,87.6438
194,107.9474
1654,18.7122
2322,100.0698
2209,98.3207
2287,75.4189
2511,63.9098
1976,24.8855
1007,78.5934
866,44.6571
1176,101.772
2425,83.1682
727,95.9166
927,86.5018
1530,102.1393
2222,98.3679
327,77.3801
2068,90.459
2495,85.5724
756,88.2542
493,59.4505
2127,98.6111
1018,98.3936
351,94.0347
95,65.4259
73,71.27
1264,101.6112
991,49.3136
86,97.5722
790,85.0817
2338,84.3374
741,97.2852
2406,77.1017
1978,99.8036
2185,69.4072
491,84.6705
497,102.9833
2138,92.1507
5,105.699
2315,25.2326
45,24.7583
203,53.927
1028,78.6707
705,56.2473
564,96.6477
474,91.3475
1194,93.09
129,83.2472
800,79.3239
1353,78.4312
730,100.2751
1822,35.2711
1886,29.0572
289,45.7964
1373,83.4633
2224,65.7496
2271,74.6312
1776,72.0852
806,88.4785
553,48.4364
2430,93.1968
837,9.3588
1984,89.8227
858,64.4935
501,92.0293
2011,8.575
237,60.7533
2081,67.3142
1922,97.3645
1419,84.7043
1014,34.537
1340,77.5084
482,79.5214
783,2.8693
1918,91.6961
235,103.3988
276,15.5718
1970,101.1218
1088,55.9882
1829,24.7997
2410,83.5425
1431,74.6201
884,79.3218
2402,93.4595
1338,93.4273
1281,95.7756
960,92.7275
1859,30.6195
2174,20.3612
2399,51.8369
1958,60.5033
18,88.898
1180,112.5749
97,108.1143
1905,89.5283
174,98.1138
2249,52.1136
450,56.594
1784,74.0384
1465,93.9675
2415,72.3844
317,87.7314
2152,110.6422
1665,94.3032
412,85.178
723,51.4281
