ID,Target
32,101.4001
376,102.4339
71,64.7858
2232,74.8898
2018,107.9913
1971,59.4761
1727,72.3787
2220,83.3607
27,50.9425
622,101.4265
1065,91.1018
399,62.5509
2088,94.581
2059,90.7531
1256,89.1619
441,55.5163
833,93.5366
428,33.4572
1875,24.3296
1466,55.1464
2503,77.7045
1112,86.1716
1114,43.1609
870,75.8204
2100,85.9523
666,51.8919
768,84.6464
1192,43.576
280,75.975
2453,87.6758
315,110.5402
417,74.7329
1165,93.2728
1841,75.6957
2532,6.66
1052,120.4494
2373,86.7102
434,84.5142
921,79.4738
1734,6.4364
1189,19.4257
901,54.9456
2297,54.2411
301,24.1455
1719,105.2375
659,100.9188
1428,25.5276
614,78.8339
2052,86.3866
39,10.3299
460,100.6917
2096,49.6282
1197,81.2494
525,88.3776
670,66.4124
1718,63.8645
14,99.0964
75,76.3911
1107,95.1211
2357,90.3145
1796,66.3184
1961,74.8011
424,23.7529
1534,89.9545
534,77.9238
54,96.3923
1500,92.7277
2031,94.2574
360,77.728
2385,87.5475
225,88.5951
2311,96.0367
1223,67.7666
416,83.6414
1523,90.8209
1390,67.3912
398,88.8558
1620,63.6205
1096,23.8111
1121,97.5428
2160,56.4427
2438,37.4349
1737,90.0059
1787,88.0853
81,97.2975
1282,100.9856
1939,93.1874
1856,82.0581
69,49.3396
1726,88.691
1524,59.9248
846,81.2106
1156,97.2921
2281,103.9982
2535,41.1746
1848,9.3718
1591,98.4504
2196,75.9978
1294,72.9607
1401,74.6467
2387,95.9794
682,95.7572
160,120.6235
1570,95.8456
849,88.627
798,88.8064
443,97.5408
1138,47.0401
704,102.8531
1036,86.6757
2267,70.6525
499,28.1678
1360,105.3109
2016,97.1042
1881,32.435
2032,3.2963
1084,94.6503
2485,24.5443
333,45.0059
1433,48.1792
264,85.5808
1455,79.8912
2179,90.0965
2341,84.8704
1283,46.5861
2114,31.2244
1604,83.2189
1623,53.6504
709,97.5168
958,4.1357
2256,90.8627
2362,97.7897
745,90.4242
2170,33.5428
303,103.042
1983,74.3784
532,47.5369
1805,42.3602
43,95.3212
1074,23.2148
2483,43.0545
356,39.6272
975,104.2412
2369,105.7547
2166,107.083
256,92.2029
1812,91.7513
2190,16.3407
1446,97.1035
2126,55.1738
253,99.5
1391,84.4753
985,62.1158
2184,61.8777
2519,81.802
1273,90.3062
2448,78.1464
2452,26.2532
2319,93.1422
764,96.5311
602,89.8041
1712,58.6544
1341,90.5597
1745,94.9647
2243,100.2412
1239,58.0585
1617,62.4576
1777,99.7109
1816,96.0353
2140,92.5872
1716,119.7042
1368,98.3381
2158,83.6526
1658,97.892
306,66.6872
747,85.0349
568,68.5995
1850,56.7644
455,71.7636
1580,86.6559
1356,70.3655
445,62.512
34,2.1705
1501,64.7052
500,72.3383
1894,93.8714
957,100.3339
209,104.3591
149,97.7762
1563,57.1827
1363,100.5344
88,50.147
452,59.903
876,101.9022
1697,105.293
1347,23.3593
737,103.3232
346,100.052
282,94.2477
1684,46.449
969,136.5086
1703,102.6031
475,107.0927
2512,63.3233
260,95.6158
818,15.6776
1145,64.0507
1475,36.8214
2334,71.5027
273,93.5311
1973,96.7519
625,63.8062
1862,9.0767
67,14.8365
1807,96.9576
857,91.2209
2510,97.4809
643,94.2971
2061,75.3976
905,74.4534
699,99.9075
2202,38.1704
847,50.8046
2229,92.7954
201,88.9859
1809,95.098
955,14.541
1740,110.399
2526,95.3555
1384,68.6226
1566,98.0676
1934,88.9976
1561,81.6544
1595,86.5409
617,102.9066
677,30.7354
2421,95.7265
1167,44.0493
2161,91.9281
2298,97.8422
2092,53.1936
1639,89.7104
1642,108.2079
1457,99.9251
2304,84.5347
1844,93.3234
1924,100.7782
1982,96.2609
3,44.9501
1346,64.3362
834,55.7453
1860,103.875
1575,96.4241
37,78.5456
406,79.7072
1904,96.6947
328,75.605
2204,97.3967
2501,98.8387
451,105.2829
2112,25.0665
2534,71.3571
2333,66.5432
420,68.2238
2137,50.2997
120,101.718
2426,96.5007
1206,11.1769
1226,55.9088
